epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8111,0.0000,0.7467,640.9722,0.1473,0.8554,0.0000,0.8292,580.7676,0.1051
1,0.8631,0.0000,0.8470,624.4774,0.1027,0.8756,0.0000,0.8629,573.9247,0.0941
2,0.8747,0.0000,0.8630,621.5078,0.0975,0.8811,0.0000,0.8692,573.0273,0.0923
3,0.8804,0.0000,0.8694,620.6114,0.0956,0.8853,0.0000,0.8732,572.6225,0.0911
4,0.8848,0.0000,0.8744,619.9247,0.0941,0.8871,0.0000,0.8754,572.3075,0.0905
5,0.8870,0.0000,0.8768,619.4287,0.0930,0.8887,0.0000,0.8773,572.1282,0.0903
6,0.8881,0.0000,0.8779,619.1632,0.0924,0.8902,0.0000,0.8788,572.1217,0.0900
7,0.8889,0.0000,0.8787,619.0334,0.0921,0.8905,0.0000,0.8786,572.2270,0.0900
8,0.8891,0.0000,0.8788,618.9808,0.0919,0.8903,0.0000,0.8779,572.1718,0.0898
9,0.8896,0.0000,0.8794,618.9335,0.0918,0.8912,0.0000,0.8792,572.1533,0.0897
10,0.8897,0.0000,0.8794,618.9063,0.0918,0.8908,0.0000,0.8788,572.1399,0.0897
11,0.8903,0.0000,0.8801,618.8740,0.0917,0.8909,0.0000,0.8790,572.0589,0.0897
12,0.8906,0.0000,0.8804,618.8377,0.0916,0.8913,0.0000,0.8796,572.0233,0.0896
13,0.8909,0.0000,0.8807,618.8169,0.0915,0.8915,0.0000,0.8789,572.0295,0.0897
14,0.8910,0.0000,0.8808,618.7893,0.0915,0.8908,0.0000,0.8785,572.1427,0.0896
15,0.8912,0.0000,0.8811,618.7748,0.0914,0.8921,0.0000,0.8808,571.8772,0.0895
16,0.8913,0.0000,0.8812,618.7545,0.0914,0.8914,0.0000,0.8792,572.0635,0.0895
17,0.8914,0.0000,0.8813,618.7461,0.0914,0.8918,0.0000,0.8802,571.9793,0.0895
18,0.8913,0.0000,0.8812,618.7449,0.0914,0.8911,0.0000,0.8791,571.9696,0.0894
19,0.8915,0.0000,0.8814,618.7271,0.0913,0.8917,0.0000,0.8801,571.9195,0.0898
