epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8139,0.0000,0.7614,639.6417,0.1470,0.8662,0.0000,0.8429,578.6442,0.1039
1,0.8709,0.0000,0.8526,623.9988,0.1029,0.8971,0.0000,0.8847,570.1877,0.0851
2,0.8943,0.0000,0.8824,616.6574,0.0861,0.9080,0.0000,0.8981,566.1329,0.0760
3,0.9107,0.0000,0.9028,613.0811,0.0779,0.9284,0.0000,0.9233,562.9266,0.0701
4,0.9296,0.0000,0.9254,609.6883,0.0704,0.9347,0.0000,0.9303,561.0149,0.0638
5,0.9334,0.0000,0.9295,606.4805,0.0638,0.9329,0.0000,0.9284,558.5755,0.0603
6,0.9316,0.0000,0.9278,605.0998,0.0608,0.9332,0.0000,0.9293,558.0793,0.0574
7,0.9360,0.0000,0.9332,603.8941,0.0575,0.9374,0.0000,0.9345,557.2208,0.0558
8,0.9401,0.0000,0.9379,602.6740,0.0546,0.9355,0.0000,0.9339,555.5914,0.0544
9,0.9416,0.0000,0.9397,601.8434,0.0531,0.9418,0.0000,0.9395,554.9419,0.0506
10,0.9423,0.0000,0.9405,601.3400,0.0522,0.9404,0.0000,0.9386,554.0106,0.0501
11,0.9418,0.0000,0.9400,601.0581,0.0518,0.9447,0.0000,0.9422,554.6174,0.0509
12,0.9425,0.0000,0.9408,600.8372,0.0514,0.9393,0.0000,0.9379,554.1460,0.0495
13,0.9431,0.0000,0.9413,600.6454,0.0510,0.9468,0.0000,0.9449,553.9065,0.0486
14,0.9434,0.0000,0.9417,600.5450,0.0508,0.9448,0.0000,0.9433,553.4574,0.0487
15,0.9434,0.0000,0.9417,600.4667,0.0507,0.9463,0.0000,0.9443,553.5832,0.0482
16,0.9434,0.0000,0.9417,600.4101,0.0505,0.9405,0.0000,0.9389,553.3054,0.0482
17,0.9433,0.0000,0.9415,600.3721,0.0504,0.9446,0.0000,0.9429,553.7784,0.0487
18,0.9429,0.0000,0.9412,600.3172,0.0503,0.9449,0.0000,0.9428,553.8633,0.0488
19,0.9431,0.0000,0.9413,600.2953,0.0503,0.9480,0.0000,0.9458,553.4092,0.0481
