epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8181,0.0000,0.7617,638.7796,0.1403,0.8668,0.0000,0.8476,578.4155,0.1031
1,0.8777,0.0000,0.8639,623.1141,0.1012,0.8943,0.0000,0.8823,572.6035,0.0924
2,0.8909,0.0000,0.8791,620.4634,0.0955,0.8965,0.0000,0.8849,570.7783,0.0885
3,0.9060,0.0000,0.8980,610.5128,0.0728,0.9170,0.0000,0.9112,557.6914,0.0556
4,0.9144,0.0000,0.9099,602.3977,0.0548,0.9175,0.0000,0.9149,555.0447,0.0515
5,0.9165,0.0000,0.9136,600.0047,0.0494,0.9180,0.0000,0.9150,553.1420,0.0468
6,0.9180,0.0000,0.9158,599.1392,0.0476,0.9201,0.0000,0.9200,552.7167,0.0444
7,0.9188,0.0000,0.9170,598.7955,0.0469,0.9206,0.0000,0.9216,552.0606,0.0461
8,0.9194,0.0000,0.9179,598.6030,0.0465,0.9239,0.0000,0.9171,552.6311,0.0441
9,0.9211,0.0000,0.9195,598.5561,0.0464,0.9195,0.0000,0.9207,551.1860,0.0436
10,0.9236,0.0000,0.9222,598.3712,0.0460,0.9318,0.0000,0.9308,551.7237,0.0427
11,0.9315,0.0000,0.9301,598.1159,0.0453,0.9438,0.0000,0.9414,551.3868,0.0425
12,0.9708,0.0290,0.9701,592.8699,0.0330,0.9961,0.2755,0.9961,537.2155,0.0140
13,0.9984,0.5348,0.9984,582.9362,0.0112,0.9996,0.8929,0.9996,534.7006,0.0063
14,0.9993,0.7521,0.9993,581.1108,0.0070,0.9998,0.9643,0.9998,531.5435,0.0036
15,0.9995,0.8354,0.9995,580.5228,0.0059,0.9998,0.9388,0.9998,533.6170,0.0039
16,0.9997,0.8787,0.9997,580.1484,0.0049,0.9998,0.9694,0.9998,532.7020,0.0025
17,0.9997,0.8977,0.9997,580.0524,0.0048,0.9999,0.9745,0.9999,532.9059,0.0021
18,0.9997,0.9088,0.9997,579.8620,0.0042,0.9999,0.9745,0.9999,532.1495,0.0019
19,0.9997,0.9072,0.9997,579.7795,0.0041,0.9998,0.9694,0.9998,532.0816,0.0038
