epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8611,0.0000,0.8236,627.9937,0.1226,0.9484,0.0000,0.9469,558.5976,0.0579
1,0.9788,0.0206,0.9785,595.8630,0.0391,0.9946,0.1633,0.9945,540.9552,0.0204
2,0.9973,0.4752,0.9973,583.8964,0.0135,0.9998,0.9082,0.9998,534.6041,0.0055
3,0.9999,0.9256,0.9999,579.0160,0.0023,0.9999,0.9490,0.9999,532.3238,0.0012
4,1.0000,0.9752,1.0000,578.5580,0.0012,1.0000,0.9847,1.0000,532.2209,0.0008
5,1.0000,0.9984,1.0000,578.4322,0.0008,1.0000,1.0000,1.0000,532.1132,0.0006
6,1.0000,0.9989,1.0000,578.3689,0.0006,1.0000,1.0000,1.0000,532.0888,0.0004
7,1.0000,0.9989,1.0000,578.3298,0.0005,1.0000,1.0000,1.0000,532.0060,0.0004
8,1.0000,0.9989,1.0000,578.2955,0.0004,1.0000,1.0000,1.0000,532.1176,0.0003
9,1.0000,0.9989,1.0000,578.2790,0.0004,1.0000,1.0000,1.0000,532.0845,0.0003
10,1.0000,0.9989,1.0000,578.2610,0.0003,1.0000,1.0000,1.0000,532.2595,0.0002
11,1.0000,0.9989,1.0000,578.2455,0.0003,1.0000,1.0000,1.0000,532.0870,0.0002
12,1.0000,0.9989,1.0000,578.2291,0.0002,1.0000,1.0000,1.0000,532.1144,0.0002
13,1.0000,0.9989,1.0000,578.2220,0.0002,1.0000,1.0000,1.0000,532.0438,0.0002
14,1.0000,0.9989,1.0000,578.2094,0.0002,1.0000,1.0000,1.0000,531.9469,0.0001
15,1.0000,0.9989,1.0000,578.2042,0.0001,1.0000,1.0000,1.0000,532.0379,0.0001
16,1.0000,0.9989,1.0000,578.1993,0.0001,1.0000,1.0000,1.0000,531.9862,0.0001
17,1.0000,0.9984,1.0000,578.1910,0.0001,1.0000,1.0000,1.0000,532.0241,0.0001
18,1.0000,0.9984,1.0000,578.1873,0.0001,1.0000,1.0000,1.0000,532.0420,0.0001
19,1.0000,0.9984,1.0000,578.1823,0.0001,1.0000,1.0000,1.0000,531.9392,0.0001
