epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8091,0.0000,0.7448,642.0213,0.1523,0.8471,0.0000,0.8094,584.7247,0.1152
1,0.8532,0.0000,0.8289,628.6157,0.1120,0.8710,0.0000,0.8544,576.2906,0.0985
2,0.8681,0.0000,0.8532,623.3664,0.1016,0.8754,0.0000,0.8608,574.2888,0.0945
3,0.8722,0.0000,0.8588,622.0175,0.0987,0.8803,0.0000,0.8668,573.6923,0.0935
4,0.8759,0.0000,0.8632,621.4270,0.0975,0.8821,0.0000,0.8689,573.5663,0.0931
5,0.8777,0.0000,0.8651,621.1278,0.0968,0.8830,0.0000,0.8696,573.4419,0.0928
6,0.8792,0.0000,0.8667,620.9799,0.0965,0.8826,0.0000,0.8685,573.4910,0.0927
7,0.8795,0.0000,0.8670,620.8927,0.0963,0.8835,0.0000,0.8700,573.3859,0.0925
8,0.8801,0.0000,0.8677,620.8307,0.0961,0.8838,0.0000,0.8699,573.4212,0.0924
9,0.8800,0.0000,0.8677,620.7616,0.0959,0.8845,0.0000,0.8715,573.2408,0.0924
10,0.8811,0.0000,0.8689,620.7193,0.0958,0.8841,0.0000,0.8707,573.3208,0.0924
11,0.8816,0.0000,0.8694,620.6870,0.0958,0.8852,0.0000,0.8717,573.2439,0.0923
12,0.8816,0.0000,0.8695,620.6575,0.0957,0.8861,0.0000,0.8737,573.0687,0.0922
13,0.8820,0.0000,0.8699,620.6326,0.0957,0.8858,0.0000,0.8724,573.2548,0.0922
14,0.8821,0.0000,0.8701,620.6286,0.0956,0.8860,0.0000,0.8718,573.3301,0.0922
15,0.8826,0.0000,0.8706,620.6045,0.0956,0.8855,0.0000,0.8714,573.3553,0.0924
16,0.8826,0.0000,0.8707,620.5923,0.0955,0.8858,0.0000,0.8727,573.1759,0.0922
17,0.8827,0.0000,0.8709,620.5711,0.0955,0.8859,0.0000,0.8725,573.1980,0.0924
18,0.8825,0.0000,0.8706,620.5724,0.0955,0.8857,0.0000,0.8734,572.9985,0.0921
19,0.8825,0.0000,0.8705,620.5576,0.0955,0.8859,0.0000,0.8733,573.0906,0.0922
