epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8083,0.0000,0.7426,641.7538,0.1497,0.8474,0.0000,0.8173,582.5634,0.1099
1,0.8604,0.0000,0.8425,626.0275,0.1059,0.8792,0.0000,0.8678,574.4568,0.0953
2,0.8784,0.0000,0.8676,621.5548,0.0976,0.8835,0.0000,0.8723,573.2618,0.0928
3,0.8826,0.0000,0.8723,620.2747,0.0950,0.8856,0.0000,0.8741,572.6588,0.0913
4,0.8853,0.0000,0.8750,619.6163,0.0935,0.8875,0.0000,0.8761,572.2862,0.0907
5,0.8867,0.0000,0.8762,619.3280,0.0927,0.8876,0.0000,0.8760,572.1220,0.0903
6,0.8873,0.0000,0.8767,619.1949,0.0924,0.8885,0.0000,0.8763,572.1554,0.0899
7,0.8875,0.0000,0.8768,619.1067,0.0922,0.8889,0.0000,0.8773,572.0023,0.0897
8,0.8877,0.0000,0.8771,619.0585,0.0920,0.8887,0.0000,0.8764,571.9500,0.0894
9,0.8881,0.0000,0.8775,618.9986,0.0919,0.8890,0.0000,0.8766,571.9766,0.0892
10,0.8883,0.0000,0.8776,618.9608,0.0918,0.8896,0.0000,0.8779,571.8437,0.0891
11,0.8888,0.0000,0.8783,618.9131,0.0917,0.8900,0.0000,0.8778,571.8782,0.0891
12,0.8889,0.0000,0.8785,618.8654,0.0916,0.8904,0.0000,0.8788,571.7420,0.0890
13,0.8892,0.0000,0.8789,618.8404,0.0915,0.8902,0.0000,0.8785,571.5706,0.0891
14,0.8893,0.0000,0.8789,618.8078,0.0915,0.8906,0.0000,0.8788,571.7940,0.0889
15,0.8894,0.0000,0.8791,618.7898,0.0914,0.8913,0.0000,0.8805,571.5177,0.0889
16,0.8894,0.0000,0.8792,618.7654,0.0914,0.8910,0.0000,0.8791,571.7044,0.0889
17,0.8895,0.0000,0.8793,618.7484,0.0913,0.8912,0.0000,0.8803,571.5664,0.0888
18,0.8898,0.0000,0.8797,618.7405,0.0913,0.8911,0.0000,0.8797,571.6443,0.0887
19,0.8897,0.0000,0.8796,618.7164,0.0913,0.8903,0.0000,0.8790,571.6532,0.0891
