epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.9708,0.5343,0.9718,587.8668,0.0531,1.0000,1.0000,1.0000,533.9570,0.0056
1,1.0000,0.9963,1.0000,579.0940,0.0028,1.0000,1.0000,1.0000,532.1981,0.0013
2,1.0000,0.9979,1.0000,578.4673,0.0010,1.0000,1.0000,1.0000,532.3870,0.0007
3,1.0000,0.9979,1.0000,578.3194,0.0006,1.0000,1.0000,1.0000,532.5221,0.0008
4,1.0000,0.9979,1.0000,578.2701,0.0005,1.0000,1.0000,1.0000,532.0410,0.0003
5,1.0000,0.9979,1.0000,578.2283,0.0003,1.0000,1.0000,1.0000,531.9327,0.0002
6,1.0000,0.9979,1.0000,578.2118,0.0003,1.0000,1.0000,1.0000,532.0829,0.0002
7,1.0000,0.9979,1.0000,578.1975,0.0002,1.0000,1.0000,1.0000,532.0474,0.0002
8,1.0000,0.9979,1.0000,578.1931,0.0002,1.0000,1.0000,1.0000,531.8789,0.0001
9,1.0000,0.9979,1.0000,578.1797,0.0002,1.0000,1.0000,1.0000,532.1537,0.0002
10,1.0000,0.9979,1.0000,578.1772,0.0001,1.0000,1.0000,1.0000,531.7390,0.0001
11,1.0000,0.9984,1.0000,578.1664,0.0001,1.0000,1.0000,1.0000,532.1202,0.0001
12,1.0000,0.9984,1.0000,578.1660,0.0001,1.0000,1.0000,1.0000,531.8854,0.0001
13,1.0000,0.9984,1.0000,578.1602,0.0001,1.0000,1.0000,1.0000,532.0282,0.0001
14,1.0000,0.9984,1.0000,578.1613,0.0001,1.0000,1.0000,1.0000,531.8822,0.0002
15,1.0000,0.9984,1.0000,578.1824,0.0003,1.0000,1.0000,1.0000,531.9064,0.0001
16,1.0000,0.9984,1.0000,578.1526,0.0000,1.0000,1.0000,1.0000,531.9207,0.0000
17,1.0000,0.9995,1.0000,578.1523,0.0000,1.0000,1.0000,1.0000,531.9304,0.0000
18,1.0000,0.9989,1.0000,578.1505,0.0000,1.0000,1.0000,1.0000,532.0709,0.0001
19,1.0000,0.9989,1.0000,578.1560,0.0001,1.0000,1.0000,1.0000,531.9937,0.0000
20,1.0000,0.9995,1.0000,578.1502,0.0000,1.0000,1.0000,1.0000,531.9122,0.0001
21,1.0000,0.9995,1.0000,578.1491,0.0000,1.0000,1.0000,1.0000,531.9150,0.0000
22,1.0000,0.9995,1.0000,578.1475,0.0000,1.0000,1.0000,1.0000,531.9792,0.0000
23,1.0000,0.9995,1.0000,578.1480,0.0000,1.0000,1.0000,1.0000,531.9517,0.0000
24,1.0000,0.9995,1.0000,578.1498,0.0000,1.0000,1.0000,1.0000,531.9142,0.0000
25,1.0000,0.9995,1.0000,578.1475,0.0000,1.0000,1.0000,1.0000,531.8771,0.0000
26,1.0000,0.9995,1.0000,578.1476,0.0000,1.0000,1.0000,1.0000,531.9630,0.0000
27,1.0000,0.9995,1.0000,578.1502,0.0000,1.0000,1.0000,1.0000,531.9460,0.0000
28,1.0000,0.9995,1.0000,578.1449,0.0000,1.0000,1.0000,1.0000,531.9000,0.0000
29,1.0000,1.0000,1.0000,578.1487,0.0000,1.0000,1.0000,1.0000,531.9144,0.0000
30,1.0000,1.0000,1.0000,578.1448,0.0000,1.0000,1.0000,1.0000,531.9378,0.0000
31,1.0000,1.0000,1.0000,578.1461,0.0000,1.0000,1.0000,1.0000,531.7645,0.0001
32,1.0000,1.0000,1.0000,578.1460,0.0000,1.0000,1.0000,1.0000,531.9106,0.0000
33,1.0000,1.0000,1.0000,578.1459,0.0000,1.0000,1.0000,1.0000,531.9216,0.0000
34,1.0000,1.0000,1.0000,578.1440,0.0000,1.0000,1.0000,1.0000,531.8885,0.0000
35,1.0000,1.0000,1.0000,578.1462,0.0000,1.0000,1.0000,1.0000,531.9337,0.0000
36,1.0000,1.0000,1.0000,578.1463,0.0000,1.0000,1.0000,1.0000,531.8817,0.0000
37,1.0000,1.0000,1.0000,578.1440,0.0000,1.0000,1.0000,1.0000,531.9255,0.0000
38,1.0000,1.0000,1.0000,578.1442,0.0000,1.0000,1.0000,1.0000,531.8805,0.0000
39,1.0000,1.0000,1.0000,578.1552,0.0001,1.0000,1.0000,1.0000,531.9380,0.0000
40,1.0000,1.0000,1.0000,578.1438,0.0000,1.0000,1.0000,1.0000,531.9312,0.0000
41,1.0000,1.0000,1.0000,578.1433,0.0000,1.0000,1.0000,1.0000,531.9259,0.0000
42,1.0000,1.0000,1.0000,578.1431,0.0000,1.0000,1.0000,1.0000,531.9336,0.0000
