epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8323,0.0000,0.7976,633.8134,0.1361,0.8877,0.0000,0.8725,573.2444,0.0921
1,0.9047,0.0000,0.8955,613.8672,0.0800,0.9284,0.0000,0.9232,557.7765,0.0590
2,0.9329,0.0000,0.9289,603.6530,0.0579,0.9412,0.0000,0.9379,555.2519,0.0529
3,0.9397,0.0000,0.9369,601.8553,0.0539,0.9413,0.0000,0.9388,553.9621,0.0505
4,0.9392,0.0000,0.9369,600.9148,0.0517,0.9387,0.0000,0.9362,553.7604,0.0490
5,0.9383,0.0000,0.9361,600.3547,0.0502,0.9419,0.0000,0.9393,554.0104,0.0478
6,0.9405,0.0000,0.9385,600.0624,0.0496,0.9416,0.0000,0.9398,552.8740,0.0472
7,0.9417,0.0000,0.9397,599.8893,0.0492,0.9445,0.0000,0.9421,553.6930,0.0475
8,0.9425,0.0000,0.9406,599.7433,0.0490,0.9451,0.0000,0.9433,552.7275,0.0467
9,0.9425,0.0000,0.9407,599.6575,0.0488,0.9451,0.0000,0.9429,552.4480,0.0472
10,0.9427,0.0000,0.9408,599.5886,0.0487,0.9469,0.0000,0.9449,552.4655,0.0474
11,0.9430,0.0000,0.9411,599.5247,0.0486,0.9457,0.0000,0.9436,553.0461,0.0468
12,0.9432,0.0000,0.9414,599.4760,0.0485,0.9448,0.0000,0.9425,552.8526,0.0467
13,0.9436,0.0000,0.9418,599.4310,0.0483,0.9460,0.0000,0.9436,552.7375,0.0473
14,0.9434,0.0000,0.9416,599.3999,0.0483,0.9463,0.0000,0.9442,553.1035,0.0472
15,0.9436,0.0000,0.9419,599.3621,0.0483,0.9455,0.0000,0.9438,552.2087,0.0477
16,0.9436,0.0000,0.9419,599.3405,0.0482,0.9445,0.0000,0.9429,552.0492,0.0475
17,0.9435,0.0000,0.9417,599.3386,0.0482,0.9454,0.0000,0.9439,553.1705,0.0476
18,0.9433,0.0000,0.9416,599.2916,0.0481,0.9464,0.0000,0.9438,553.6289,0.0469
19,0.9439,0.0000,0.9422,599.2874,0.0481,0.9463,0.0000,0.9440,552.7788,0.0464
