epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.9579,0.2996,0.9575,595.8320,0.0569,0.9999,0.9541,0.9999,535.5656,0.0090
1,0.9997,0.8819,0.9997,580.8705,0.0075,1.0000,1.0000,1.0000,533.1798,0.0035
2,0.9999,0.9641,0.9999,579.6228,0.0043,1.0000,1.0000,1.0000,532.1253,0.0030
3,1.0000,0.9815,1.0000,579.2834,0.0035,1.0000,1.0000,1.0000,531.7787,0.0016
4,1.0000,0.9831,1.0000,579.1454,0.0032,1.0000,1.0000,1.0000,532.1796,0.0023
5,1.0000,0.9910,1.0000,579.0341,0.0028,1.0000,1.0000,1.0000,531.9629,0.0022
6,1.0000,0.9921,1.0000,578.9832,0.0026,1.0000,1.0000,1.0000,531.5409,0.0009
7,1.0000,0.9931,1.0000,578.9440,0.0025,1.0000,1.0000,1.0000,531.3562,0.0015
8,1.0000,0.9931,1.0000,578.8924,0.0023,1.0000,1.0000,1.0000,531.6011,0.0011
9,1.0000,0.9958,1.0000,578.8527,0.0021,1.0000,1.0000,1.0000,531.4648,0.0010
10,1.0000,0.9947,1.0000,578.8280,0.0020,1.0000,1.0000,1.0000,531.6749,0.0011
11,1.0000,0.9958,1.0000,578.7788,0.0019,1.0000,1.0000,1.0000,531.7915,0.0012
12,1.0000,0.9958,1.0000,578.7789,0.0018,1.0000,1.0000,1.0000,531.5955,0.0014
13,1.0000,0.9953,1.0000,578.7486,0.0016,1.0000,1.0000,1.0000,530.9512,0.0006
14,1.0000,0.9947,1.0000,578.7100,0.0015,1.0000,1.0000,1.0000,531.6367,0.0009
15,1.0000,0.9926,1.0000,578.6797,0.0013,1.0000,0.9949,1.0000,532.3845,0.0005
16,1.0000,0.9926,1.0000,578.6009,0.0011,1.0000,0.9949,1.0000,531.7124,0.0006
17,1.0000,0.9942,1.0000,578.5476,0.0010,1.0000,0.9949,1.0000,531.8043,0.0007
18,1.0000,0.9942,1.0000,578.5308,0.0010,1.0000,0.9949,1.0000,532.1569,0.0005
19,1.0000,0.9942,1.0000,578.5023,0.0009,1.0000,0.9949,1.0000,532.5096,0.0004
20,1.0000,0.9963,1.0000,578.4865,0.0009,1.0000,0.9949,1.0000,533.0955,0.0004
21,1.0000,0.9953,1.0000,578.4823,0.0008,1.0000,0.9949,1.0000,531.3924,0.0004
22,1.0000,0.9953,1.0000,578.4469,0.0008,1.0000,0.9949,1.0000,533.1517,0.0004
23,1.0000,0.9963,1.0000,578.4459,0.0007,1.0000,0.9949,1.0000,531.8774,0.0002
24,1.0000,0.9963,1.0000,578.4299,0.0007,1.0000,0.9949,1.0000,531.9686,0.0004
25,1.0000,0.9958,1.0000,578.4311,0.0007,1.0000,0.9949,1.0000,531.7770,0.0003
26,1.0000,0.9963,1.0000,578.4125,0.0006,1.0000,0.9949,1.0000,532.1960,0.0003
27,1.0000,0.9963,1.0000,578.4030,0.0006,1.0000,0.9949,1.0000,531.8499,0.0003
28,1.0000,0.9963,1.0000,578.3887,0.0006,1.0000,0.9949,1.0000,531.4627,0.0003
29,1.0000,0.9958,1.0000,578.3782,0.0006,1.0000,0.9949,1.0000,531.0869,0.0004
30,1.0000,0.9963,1.0000,578.3559,0.0005,1.0000,0.9949,1.0000,532.6024,0.0003
31,1.0000,0.9958,1.0000,578.3502,0.0005,1.0000,0.9949,1.0000,531.8179,0.0002
32,1.0000,0.9963,1.0000,578.3455,0.0005,1.0000,0.9949,1.0000,532.8902,0.0003
33,1.0000,0.9963,1.0000,578.3331,0.0005,1.0000,0.9949,1.0000,531.7537,0.0002
34,1.0000,0.9963,1.0000,578.3493,0.0005,1.0000,0.9949,1.0000,532.2299,0.0002
35,1.0000,0.9963,1.0000,578.3243,0.0004,1.0000,0.9949,1.0000,531.4185,0.0002
36,1.0000,0.9963,1.0000,578.3149,0.0004,1.0000,0.9949,1.0000,531.5022,0.0001
37,1.0000,0.9963,1.0000,578.3131,0.0004,1.0000,0.9949,1.0000,531.5500,0.0002
38,1.0000,0.9963,1.0000,578.3085,0.0004,1.0000,0.9949,1.0000,531.9175,0.0002
39,1.0000,0.9963,1.0000,578.2937,0.0004,1.0000,0.9949,1.0000,531.5294,0.0003
40,1.0000,0.9963,1.0000,578.3088,0.0004,1.0000,0.9949,1.0000,531.9878,0.0002
41,1.0000,0.9963,1.0000,578.2964,0.0004,1.0000,0.9949,1.0000,532.3811,0.0003
42,1.0000,0.9963,1.0000,578.2825,0.0003,1.0000,0.9949,1.0000,532.2034,0.0002
43,1.0000,0.9963,1.0000,578.2752,0.0003,1.0000,0.9949,1.0000,531.6924,0.0002
44,1.0000,0.9963,1.0000,578.2779,0.0003,1.0000,0.9949,1.0000,532.1794,0.0002
45,1.0000,0.9963,1.0000,578.2708,0.0003,1.0000,0.9949,1.0000,532.4827,0.0002
46,1.0000,0.9963,1.0000,578.2730,0.0003,1.0000,0.9949,1.0000,531.0344,0.0002
47,1.0000,0.9963,1.0000,578.2651,0.0003,1.0000,0.9949,1.0000,531.3670,0.0002
