epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7695,0.0000,0.7084,648.8989,0.1979,0.8151,0.0000,0.7441,593.6159,0.1393
1,0.8089,0.0000,0.7476,640.0073,0.1403,0.8286,0.0000,0.7861,586.8614,0.1238
2,0.8316,0.0000,0.8037,631.4285,0.1209,0.8474,0.0000,0.8247,580.1382,0.1082
3,0.8518,0.0000,0.8357,625.5398,0.1073,0.8678,0.0000,0.8534,575.1242,0.0966
4,0.8747,0.0000,0.8641,619.5487,0.0936,0.8858,0.0000,0.8759,569.9194,0.0842
5,0.8964,0.0000,0.8891,613.9127,0.0806,0.9015,0.0000,0.8935,565.8633,0.0771
6,0.9127,0.0000,0.9069,609.4543,0.0704,0.9080,0.0000,0.9013,562.0737,0.0716
7,0.9240,0.0000,0.9195,605.4377,0.0610,0.9248,0.0000,0.9198,559.0512,0.0578
8,0.9332,0.0000,0.9300,602.1073,0.0531,0.9291,0.0000,0.9257,556.3373,0.0525
9,0.9463,0.0000,0.9450,598.2240,0.0444,0.9368,0.0000,0.9352,553.0472,0.0485
10,0.9581,0.0000,0.9575,595.1504,0.0373,0.9386,0.0000,0.9378,551.8483,0.0475
11,0.9705,0.0005,0.9703,591.6601,0.0288,0.9293,0.0000,0.9282,552.5101,0.0529
12,0.9750,0.0000,0.9748,590.1973,0.0256,0.8856,0.0000,0.8842,559.7070,0.0817
13,0.9781,0.0011,0.9780,589.1387,0.0231,0.9620,0.0000,0.9617,547.3329,0.0323
14,0.9800,0.0005,0.9799,588.4388,0.0217,0.9572,0.0000,0.9564,548.1643,0.0349
15,0.9813,0.0011,0.9812,587.9285,0.0207,0.9391,0.0000,0.9385,549.6973,0.0477
16,0.9829,0.0021,0.9828,587.3513,0.0193,0.9631,0.0000,0.9625,546.3280,0.0311
17,0.9842,0.0026,0.9842,586.8314,0.0182,0.9514,0.0000,0.9506,548.8551,0.0375
18,0.9852,0.0053,0.9851,586.5383,0.0176,0.9734,0.0000,0.9731,544.9080,0.0255
19,0.9860,0.0042,0.9859,586.2284,0.0169,0.9743,0.0000,0.9741,541.4368,0.0239
