epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7861,0.0000,0.7539,640.5047,0.1762,0.8402,0.0000,0.8131,581.6326,0.1123
1,0.8533,0.0000,0.8363,624.5528,0.1049,0.8877,0.0000,0.8803,568.6749,0.0820
2,0.8994,0.0000,0.8941,612.0041,0.0762,0.9177,0.0000,0.9140,560.4464,0.0642
3,0.9232,0.0000,0.9204,605.1032,0.0610,0.9376,0.0000,0.9354,554.5965,0.0510
4,0.9444,0.0000,0.9431,599.1547,0.0468,0.9578,0.0000,0.9570,549.3163,0.0376
5,0.9651,0.0005,0.9645,593.7203,0.0344,0.9720,0.0000,0.9716,545.3671,0.0281
6,0.9791,0.0047,0.9789,589.5302,0.0246,0.9870,0.0153,0.9869,541.3340,0.0176
7,0.9924,0.0823,0.9924,584.7606,0.0141,0.9960,0.2194,0.9960,537.7075,0.0097
8,0.9966,0.2890,0.9966,582.5443,0.0094,0.9980,0.5714,0.9980,535.5665,0.0063
9,0.9983,0.5142,0.9983,581.2859,0.0068,0.9985,0.5969,0.9985,535.3667,0.0058
10,0.9987,0.6203,0.9987,580.7942,0.0058,0.9990,0.7500,0.9990,535.4650,0.0051
11,0.9992,0.7120,0.9992,580.4437,0.0051,0.9992,0.7704,0.9992,534.7719,0.0046
12,0.9994,0.7954,0.9994,580.2099,0.0046,0.9987,0.6429,0.9987,535.4168,0.0066
13,0.9995,0.8191,0.9995,580.1805,0.0044,0.9996,0.8367,0.9996,535.0443,0.0033
14,0.9995,0.8428,0.9995,580.0198,0.0042,0.9996,0.8520,0.9996,535.0623,0.0029
15,0.9996,0.8597,0.9996,579.9509,0.0039,0.9998,0.8929,0.9998,534.5998,0.0029
16,0.9997,0.8829,0.9997,579.8321,0.0037,0.9996,0.8571,0.9996,535.0677,0.0053
17,0.9997,0.8908,0.9997,579.8181,0.0036,0.9999,0.9439,0.9999,534.4690,0.0040
18,0.9997,0.8966,0.9997,579.7317,0.0035,0.9998,0.9133,0.9998,533.8254,0.0026
19,0.9997,0.8987,0.9997,579.6707,0.0034,0.9999,0.9592,0.9999,533.3795,0.0023
