epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7845,0.0000,0.7713,639.6895,0.1861,0.8630,0.0000,0.8400,579.8542,0.1131
1,0.8829,0.0000,0.8693,619.8143,0.1001,0.9165,0.0000,0.9097,564.0641,0.0760
2,0.9341,0.0000,0.9302,604.7159,0.0649,0.9559,0.0000,0.9537,552.0977,0.0474
3,0.9586,0.0000,0.9570,596.5002,0.0456,0.9642,0.0000,0.9629,547.4508,0.0377
4,0.9660,0.0000,0.9649,593.3284,0.0379,0.9717,0.0000,0.9708,545.0008,0.0300
5,0.9795,0.0000,0.9791,588.3557,0.0249,0.9850,0.0000,0.9847,539.4527,0.0175
6,0.9834,0.0000,0.9831,586.5440,0.0207,0.9851,0.0000,0.9849,539.4686,0.0165
7,0.9842,0.0000,0.9839,585.9385,0.0195,0.9857,0.0000,0.9854,539.0662,0.0159
8,0.9856,0.0000,0.9855,585.6143,0.0183,0.9881,0.0000,0.9879,539.0970,0.0143
9,0.9898,0.0069,0.9897,584.1885,0.0148,0.9920,0.0051,0.9919,536.1523,0.0105
10,0.9921,0.0148,0.9920,582.9759,0.0118,0.9920,0.0204,0.9919,536.5336,0.0093
11,0.9921,0.0142,0.9921,582.8864,0.0116,0.9920,0.0204,0.9919,535.9797,0.0094
12,0.9922,0.0153,0.9921,582.7420,0.0112,0.9920,0.0204,0.9919,536.8925,0.0093
13,0.9922,0.0164,0.9921,582.7093,0.0112,0.9920,0.0204,0.9920,535.9600,0.0090
14,0.9922,0.0158,0.9922,582.5294,0.0108,0.9920,0.0204,0.9920,535.4604,0.0089
15,0.9922,0.0158,0.9922,582.6349,0.0110,0.9920,0.0204,0.9920,536.1781,0.0087
16,0.9923,0.0158,0.9922,582.4186,0.0106,0.9920,0.0204,0.9920,536.4928,0.0090
17,0.9923,0.0164,0.9922,582.4275,0.0106,0.9920,0.0204,0.9920,536.4427,0.0087
18,0.9923,0.0153,0.9922,582.4047,0.0105,0.9920,0.0204,0.9920,536.2274,0.0088
19,0.9923,0.0158,0.9922,582.3151,0.0104,0.9920,0.0204,0.9920,535.9563,0.0087
