epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8535,0.0000,0.8406,622.6097,0.1149,0.9687,0.0000,0.9685,547.6571,0.0343
1,0.9790,0.0053,0.9789,589.7250,0.0252,0.9835,0.0255,0.9835,541.2557,0.0186
2,0.9872,0.0232,0.9871,585.9155,0.0171,0.9882,0.0204,0.9882,538.6596,0.0150
3,0.9906,0.0506,0.9906,584.5959,0.0139,0.9900,0.0255,0.9900,538.0551,0.0134
4,0.9933,0.1255,0.9932,583.5833,0.0116,0.9933,0.0765,0.9933,537.7089,0.0113
5,0.9957,0.2679,0.9957,582.6590,0.0097,0.9959,0.2245,0.9959,536.9971,0.0095
6,0.9976,0.4446,0.9976,581.7773,0.0078,0.9981,0.4490,0.9981,535.8735,0.0073
7,0.9988,0.6345,0.9988,581.1203,0.0063,0.9991,0.7143,0.9991,535.4858,0.0056
8,0.9993,0.7711,0.9993,580.5408,0.0052,0.9992,0.7347,0.9992,534.7642,0.0053
9,0.9995,0.8233,0.9995,580.2751,0.0046,0.9995,0.8163,0.9995,534.3579,0.0043
10,0.9996,0.8692,0.9996,580.0994,0.0041,0.9997,0.8827,0.9997,534.1462,0.0037
11,0.9997,0.9003,0.9997,579.8802,0.0037,0.9997,0.8724,0.9997,534.1088,0.0036
12,0.9998,0.9256,0.9998,579.7723,0.0034,0.9996,0.8520,0.9996,534.5594,0.0035
13,0.9999,0.9409,0.9999,579.6248,0.0031,0.9999,0.9337,0.9999,533.6598,0.0029
14,0.9999,0.9515,0.9999,579.5654,0.0030,0.9999,0.9541,0.9999,533.8891,0.0029
15,0.9999,0.9499,0.9999,579.4944,0.0028,0.9999,0.9694,0.9999,533.4861,0.0026
16,0.9999,0.9694,0.9999,579.4063,0.0026,0.9999,0.9439,0.9999,533.6924,0.0026
17,0.9999,0.9662,0.9999,579.3617,0.0025,0.9999,0.9286,0.9999,534.0107,0.0025
18,0.9999,0.9778,0.9999,579.2945,0.0024,0.9999,0.9541,0.9999,533.7125,0.0022
19,0.9999,0.9757,0.9999,579.2363,0.0023,0.9999,0.9592,0.9999,533.1773,0.0021
