epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7866,0.0000,0.7117,647.6894,0.1731,0.8130,0.0000,0.7351,595.7850,0.1483
1,0.8080,0.0000,0.7416,641.8185,0.1475,0.8148,0.0000,0.7449,593.7879,0.1435
2,0.8189,0.0000,0.7664,638.0076,0.1380,0.8177,0.0000,0.7520,592.8276,0.1399
3,0.8292,0.0000,0.7864,635.1926,0.1314,0.8175,0.0000,0.7564,592.1937,0.1398
4,0.8361,0.0000,0.7984,633.1560,0.1267,0.8218,0.0000,0.7674,590.9596,0.1372
5,0.8402,0.0000,0.8060,631.8408,0.1237,0.8202,0.0000,0.7678,590.7844,0.1379
6,0.8434,0.0000,0.8116,630.8285,0.1215,0.8217,0.0000,0.7705,590.3162,0.1360
7,0.8459,0.0000,0.8155,630.0102,0.1197,0.8238,0.0000,0.7756,589.6208,0.1353
8,0.8484,0.0000,0.8198,629.3108,0.1181,0.8242,0.0000,0.7778,589.3777,0.1353
9,0.8499,0.0000,0.8221,628.7251,0.1168,0.8243,0.0000,0.7763,589.4013,0.1342
10,0.8514,0.0000,0.8249,628.1347,0.1154,0.8237,0.0000,0.7771,589.1262,0.1343
11,0.8529,0.0000,0.8270,627.6208,0.1142,0.8250,0.0000,0.7823,588.5969,0.1342
12,0.8541,0.0000,0.8292,627.1556,0.1132,0.8254,0.0000,0.7804,588.8726,0.1340
13,0.8559,0.0000,0.8317,626.6923,0.1121,0.8268,0.0000,0.7822,588.7101,0.1332
14,0.8571,0.0000,0.8337,626.3042,0.1112,0.8276,0.0000,0.7855,588.1960,0.1327
15,0.8583,0.0000,0.8354,625.9354,0.1104,0.8261,0.0000,0.7832,588.2280,0.1331
16,0.8589,0.0000,0.8362,625.6387,0.1098,0.8262,0.0000,0.7839,588.1707,0.1333
17,0.8595,0.0000,0.8372,625.4134,0.1092,0.8260,0.0000,0.7823,588.3743,0.1329
18,0.8603,0.0000,0.8384,625.1768,0.1087,0.8271,0.0000,0.7865,587.8065,0.1328
19,0.8608,0.0000,0.8389,625.0365,0.1083,0.8259,0.0000,0.7827,588.3431,0.1328
