epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7816,0.0000,0.7084,650.7850,0.1853,0.8118,0.0000,0.7323,599.4067,0.1556
1,0.7969,0.0000,0.7141,647.5640,0.1597,0.8120,0.0000,0.7322,595.7740,0.1439
2,0.7990,0.0000,0.7186,644.7416,0.1513,0.8137,0.0000,0.7360,593.8755,0.1386
3,0.8044,0.0000,0.7356,641.9863,0.1445,0.8149,0.0000,0.7441,592.6077,0.1360
4,0.8078,0.0000,0.7471,640.3182,0.1406,0.8172,0.0000,0.7509,591.7254,0.1339
5,0.8113,0.0000,0.7571,638.7719,0.1371,0.8178,0.0000,0.7598,590.8554,0.1332
6,0.8144,0.0000,0.7653,637.6026,0.1344,0.8184,0.0000,0.7618,590.4029,0.1314
7,0.8174,0.0000,0.7724,636.6973,0.1324,0.8207,0.0000,0.7651,589.8897,0.1303
8,0.8200,0.0000,0.7792,635.9722,0.1309,0.8197,0.0000,0.7715,589.5455,0.1299
9,0.8219,0.0000,0.7833,635.3842,0.1294,0.8202,0.0000,0.7764,589.3403,0.1300
10,0.8242,0.0000,0.7877,634.8880,0.1283,0.8213,0.0000,0.7729,589.5296,0.1293
11,0.8257,0.0000,0.7908,634.5117,0.1274,0.8228,0.0000,0.7838,588.5779,0.1289
12,0.8267,0.0000,0.7922,634.2660,0.1269,0.8225,0.0000,0.7754,589.2117,0.1284
13,0.8273,0.0000,0.7938,634.0260,0.1264,0.8230,0.0000,0.7819,588.5964,0.1283
14,0.8279,0.0000,0.7950,633.8607,0.1260,0.8228,0.0000,0.7828,588.5219,0.1280
15,0.8282,0.0000,0.7957,633.6839,0.1257,0.8241,0.0000,0.7835,588.3462,0.1276
16,0.8292,0.0000,0.7969,633.4891,0.1252,0.8244,0.0000,0.7824,588.4840,0.1274
17,0.8294,0.0000,0.7978,633.3727,0.1249,0.8237,0.0000,0.7849,588.3706,0.1282
18,0.8299,0.0000,0.7986,633.2188,0.1246,0.8245,0.0000,0.7793,588.6825,0.1273
19,0.8299,0.0000,0.7988,633.1060,0.1244,0.8238,0.0000,0.7819,588.4909,0.1278
