epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7750,0.0000,0.7295,646.6899,0.1936,0.8251,0.0000,0.7752,590.4451,0.1346
1,0.8241,0.0000,0.7913,634.6448,0.1316,0.8468,0.0000,0.8275,580.5931,0.1132
2,0.8539,0.0000,0.8407,624.6464,0.1085,0.8756,0.0000,0.8676,571.3893,0.0922
3,0.8823,0.0000,0.8754,616.4080,0.0889,0.8963,0.0000,0.8912,565.2922,0.0787
4,0.9031,0.0000,0.8983,610.8772,0.0759,0.9102,0.0000,0.9057,562.1852,0.0687
5,0.9151,0.0000,0.9113,607.4611,0.0681,0.9186,0.0000,0.9148,559.4465,0.0633
6,0.9226,0.0000,0.9193,605.3854,0.0632,0.9211,0.0000,0.9173,558.4480,0.0614
7,0.9274,0.0000,0.9245,603.9429,0.0601,0.9255,0.0000,0.9217,557.9044,0.0587
8,0.9307,0.0000,0.9281,603.0546,0.0579,0.9287,0.0000,0.9255,557.0560,0.0581
9,0.9325,0.0000,0.9300,602.5080,0.0568,0.9314,0.0000,0.9284,556.2229,0.0552
10,0.9353,0.0000,0.9330,601.8103,0.0551,0.9318,0.0000,0.9290,555.9701,0.0557
11,0.9388,0.0000,0.9367,601.0260,0.0533,0.9332,0.0000,0.9306,555.6713,0.0560
12,0.9413,0.0000,0.9394,600.2265,0.0517,0.9400,0.0000,0.9379,553.8918,0.0515
13,0.9433,0.0000,0.9415,599.5837,0.0504,0.9369,0.0000,0.9347,553.9921,0.0528
14,0.9452,0.0000,0.9435,599.0158,0.0490,0.9401,0.0000,0.9380,553.7061,0.0511
15,0.9469,0.0000,0.9453,598.5633,0.0478,0.9421,0.0000,0.9402,553.3831,0.0507
16,0.9488,0.0000,0.9473,598.0749,0.0468,0.9405,0.0000,0.9385,553.4872,0.0514
17,0.9501,0.0000,0.9486,597.6924,0.0458,0.9396,0.0000,0.9378,553.2423,0.0522
18,0.9517,0.0000,0.9503,597.2814,0.0449,0.9432,0.0000,0.9415,552.6127,0.0483
19,0.9531,0.0000,0.9518,596.9248,0.0441,0.9446,0.0000,0.9428,552.0189,0.0477
