epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3354,0.0000,0.3354,0.5519,0.3694,0.0000,0.3694,0.3990
1,0.4145,0.0000,0.4145,0.4139,0.4389,0.0000,0.4389,0.3546
2,0.4939,0.0000,0.4939,0.3242,0.5230,0.0000,0.5230,0.2813
3,0.5591,0.0000,0.5591,0.2613,0.5791,0.0000,0.5791,0.2303
4,0.6029,0.0000,0.6029,0.2168,0.6233,0.0000,0.6233,0.1932
5,0.6411,0.0000,0.6411,0.1847,0.6562,0.0000,0.6562,0.1670
6,0.6737,0.0000,0.6737,0.1605,0.6919,0.0000,0.6919,0.1465
7,0.7069,0.0000,0.7069,0.1402,0.7223,0.0000,0.7223,0.1253
8,0.7364,0.0000,0.7364,0.1201,0.7423,0.0000,0.7423,0.1055
9,0.7564,0.0000,0.7564,0.1041,0.7730,0.0000,0.7730,0.0940
10,0.8145,0.0000,0.8145,0.0922,0.8609,0.0000,0.8609,0.0840
11,0.9180,0.0000,0.9180,0.0823,0.9503,0.0000,0.9503,0.0754
12,0.9784,0.0000,0.9784,0.0733,0.9878,0.0000,0.9878,0.0673
13,0.9890,0.0000,0.9890,0.0644,0.9930,0.0000,0.9930,0.0584
14,0.9935,0.0000,0.9935,0.0552,0.9968,0.0000,0.9968,0.0498
15,0.9969,0.0000,0.9969,0.0475,0.9975,0.0000,0.9975,0.0440
16,0.9976,0.0000,0.9976,0.0419,0.9975,0.0000,0.9975,0.0394
17,0.9976,0.0000,0.9976,0.0377,0.9975,0.0000,0.9975,0.0361
18,0.9976,0.0000,0.9976,0.0346,0.9975,0.0000,0.9975,0.0336
19,0.9976,0.0000,0.9976,0.0324,0.9975,0.0000,0.9975,0.0319
