epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2772,0.0000,0.2772,0.6130,0.2904,0.0000,0.2904,0.3416
1,0.2887,0.0000,0.2887,0.4234,0.2831,0.0000,0.2831,0.3292
2,0.2845,0.0000,0.2845,0.3161,0.2774,0.0000,0.2774,0.2758
3,0.2771,0.0000,0.2771,0.2709,0.2740,0.0000,0.2740,0.2443
4,0.2770,0.0000,0.2770,0.2441,0.2719,0.0000,0.2719,0.2239
5,0.2749,0.0000,0.2749,0.2264,0.2725,0.0000,0.2725,0.2096
6,0.2742,0.0000,0.2742,0.2136,0.2718,0.0000,0.2718,0.1991
7,0.2754,0.0000,0.2754,0.2037,0.2746,0.0000,0.2746,0.1907
8,0.2771,0.0000,0.2771,0.1960,0.2782,0.0000,0.2782,0.1842
9,0.2808,0.0000,0.2808,0.1899,0.2795,0.0000,0.2795,0.1787
10,0.2864,0.0000,0.2864,0.1847,0.2826,0.0000,0.2826,0.1740
11,0.2910,0.0000,0.2910,0.1803,0.2908,0.0000,0.2908,0.1701
12,0.2963,0.0000,0.2963,0.1764,0.2976,0.0000,0.2976,0.1666
13,0.3030,0.0000,0.3030,0.1728,0.3084,0.0000,0.3084,0.1634
14,0.3111,0.0000,0.3111,0.1695,0.3182,0.0000,0.3182,0.1604
15,0.3216,0.0000,0.3216,0.1664,0.3181,0.0000,0.3181,0.1574
16,0.3347,0.0000,0.3347,0.1633,0.3314,0.0000,0.3314,0.1546
17,0.3473,0.0000,0.3473,0.1604,0.3386,0.0000,0.3386,0.1521
18,0.3604,0.0000,0.3604,0.1577,0.3556,0.0000,0.3556,0.1494
19,0.3736,0.0000,0.3736,0.1549,0.3718,0.0000,0.3718,0.1469
