epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2446,0.0000,0.2446,0.3870,0.3018,0.0000,0.3018,0.3200
1,0.3439,0.0000,0.3439,0.2777,0.4208,0.0000,0.4208,0.2391
2,0.4675,0.0000,0.4675,0.2202,0.5017,0.0000,0.5017,0.1914
3,0.5252,0.0000,0.5252,0.1811,0.5640,0.0000,0.5640,0.1585
4,0.5675,0.0000,0.5675,0.1496,0.5884,0.0000,0.5884,0.1313
5,0.6059,0.0000,0.6059,0.1243,0.6382,0.0000,0.6382,0.1107
6,0.6708,0.0000,0.6708,0.1063,0.7209,0.0000,0.7209,0.0963
7,0.7381,0.0000,0.7381,0.0926,0.7613,0.0000,0.7613,0.0834
8,0.7802,0.0000,0.7802,0.0805,0.7826,0.0000,0.7826,0.0719
9,0.7928,0.0000,0.7928,0.0713,0.7847,0.0000,0.7847,0.0648
10,0.7971,0.0000,0.7971,0.0641,0.7897,0.0000,0.7897,0.0581
11,0.7980,0.0000,0.7980,0.0584,0.7929,0.0000,0.7929,0.0538
12,0.7980,0.0000,0.7980,0.0551,0.7970,0.0000,0.7970,0.0515
13,0.8007,0.0000,0.8007,0.0532,0.8026,0.0000,0.8026,0.0499
14,0.8086,0.0000,0.8086,0.0516,0.8131,0.0000,0.8131,0.0486
15,0.8182,0.0000,0.8182,0.0503,0.8313,0.0000,0.8313,0.0473
16,0.8401,0.0000,0.8401,0.0486,0.8534,0.0000,0.8534,0.0452
17,0.8615,0.0000,0.8615,0.0463,0.8737,0.0000,0.8737,0.0431
18,0.8849,0.0000,0.8849,0.0439,0.8965,0.0000,0.8965,0.0406
19,0.9077,0.0000,0.9077,0.0409,0.9114,0.0000,0.9114,0.0376
