epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2341,0.0000,0.2341,0.3908,0.2451,0.0000,0.2451,0.2102
1,0.2778,0.0000,0.2778,0.2425,0.3089,0.0000,0.3089,0.2031
2,0.3112,0.0000,0.3112,0.1852,0.3355,0.0000,0.3355,0.1685
3,0.3490,0.0000,0.3490,0.1608,0.3675,0.0000,0.3675,0.1497
4,0.3858,0.0000,0.3858,0.1468,0.4377,0.0000,0.4377,0.1378
5,0.5146,0.0000,0.5146,0.1356,0.6131,0.0000,0.6131,0.1279
6,0.6815,0.0000,0.6815,0.1251,0.7063,0.0000,0.7063,0.1186
7,0.7633,0.0000,0.7633,0.1158,0.7675,0.0000,0.7675,0.1105
8,0.8141,0.0000,0.8141,0.1076,0.8129,0.0000,0.8129,0.1028
9,0.8389,0.0000,0.8389,0.0997,0.8337,0.0000,0.8337,0.0954
10,0.8510,0.0000,0.8510,0.0924,0.8362,0.0000,0.8362,0.0882
11,0.8583,0.0000,0.8583,0.0857,0.8370,0.0000,0.8370,0.0821
12,0.8599,0.0000,0.8599,0.0799,0.8400,0.0000,0.8400,0.0769
13,0.8619,0.0000,0.8619,0.0748,0.8451,0.0000,0.8451,0.0725
14,0.8629,0.0000,0.8629,0.0704,0.8480,0.0000,0.8480,0.0685
15,0.8692,0.0000,0.8692,0.0663,0.8548,0.0000,0.8548,0.0644
16,0.8790,0.0000,0.8790,0.0620,0.8647,0.0000,0.8647,0.0605
17,0.8880,0.0000,0.8880,0.0580,0.8776,0.0000,0.8776,0.0568
18,0.8989,0.0000,0.8989,0.0545,0.8948,0.0000,0.8948,0.0533
19,0.9094,0.0000,0.9094,0.0511,0.9092,0.0000,0.9092,0.0499
