epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2026,0.0000,0.2026,0.3333,0.2127,0.0000,0.2127,0.2436
1,0.2108,0.0000,0.2108,0.2434,0.2225,0.0000,0.2225,0.2058
2,0.2380,0.0000,0.2380,0.1975,0.2736,0.0000,0.2736,0.1754
3,0.3155,0.0000,0.3155,0.1730,0.3284,0.0000,0.3284,0.1589
4,0.3436,0.0000,0.3436,0.1590,0.3407,0.0000,0.3407,0.1486
5,0.3732,0.0000,0.3732,0.1500,0.3867,0.0000,0.3867,0.1417
6,0.3942,0.0000,0.3942,0.1438,0.3968,0.0000,0.3968,0.1369
7,0.4113,0.0000,0.4113,0.1393,0.4015,0.0000,0.4015,0.1335
8,0.4298,0.0000,0.4298,0.1360,0.4211,0.0000,0.4211,0.1307
9,0.4527,0.0000,0.4527,0.1333,0.4380,0.0000,0.4380,0.1284
10,0.4761,0.0000,0.4761,0.1312,0.4602,0.0000,0.4602,0.1265
11,0.4915,0.0000,0.4915,0.1291,0.4724,0.0000,0.4724,0.1245
12,0.5028,0.0000,0.5028,0.1268,0.4848,0.0000,0.4848,0.1221
13,0.5110,0.0000,0.5110,0.1241,0.4901,0.0000,0.4901,0.1190
14,0.5122,0.0000,0.5122,0.1212,0.4821,0.0000,0.4821,0.1159
15,0.5180,0.0000,0.5180,0.1185,0.5020,0.0000,0.5020,0.1133
16,0.5285,0.0000,0.5285,0.1160,0.5157,0.0000,0.5157,0.1108
17,0.5403,0.0000,0.5403,0.1135,0.5304,0.0000,0.5304,0.1081
18,0.5488,0.0000,0.5488,0.1113,0.5368,0.0000,0.5368,0.1060
19,0.5527,0.0000,0.5527,0.1093,0.5389,0.0000,0.5389,0.1041
