epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3442,0.0000,0.3442,0.2290,0.3429,0.0000,0.3429,0.1758
1,0.4342,0.0000,0.4342,0.1621,0.4698,0.0000,0.4698,0.1401
2,0.5025,0.0000,0.5025,0.1351,0.5288,0.0000,0.5288,0.1222
3,0.5619,0.0000,0.5619,0.1180,0.5877,0.0000,0.5877,0.1079
4,0.6167,0.0000,0.6167,0.1045,0.6476,0.0000,0.6476,0.0962
5,0.7033,0.0000,0.7033,0.0935,0.7317,0.0000,0.7317,0.0867
6,0.7408,0.0000,0.7408,0.0851,0.7553,0.0000,0.7553,0.0795
7,0.7554,0.0000,0.7554,0.0778,0.7781,0.0000,0.7781,0.0731
8,0.7751,0.0000,0.7751,0.0719,0.7765,0.0000,0.7765,0.0683
9,0.7880,0.0000,0.7880,0.0678,0.7772,0.0000,0.7772,0.0649
10,0.7947,0.0000,0.7947,0.0648,0.7903,0.0000,0.7903,0.0627
11,0.8035,0.0000,0.8035,0.0628,0.7895,0.0000,0.7895,0.0610
12,0.8098,0.0000,0.8098,0.0612,0.7940,0.0000,0.7940,0.0596
13,0.8187,0.0000,0.8187,0.0596,0.8059,0.0000,0.8059,0.0580
14,0.8306,0.0000,0.8306,0.0578,0.8139,0.0000,0.8139,0.0562
15,0.8423,0.0000,0.8423,0.0558,0.8338,0.0000,0.8338,0.0543
16,0.8551,0.0000,0.8551,0.0537,0.8489,0.0000,0.8489,0.0521
17,0.8738,0.0000,0.8738,0.0511,0.8763,0.0000,0.8763,0.0493
18,0.8926,0.0000,0.8926,0.0476,0.8984,0.0000,0.8984,0.0452
19,0.9229,0.0000,0.9229,0.0420,0.9308,0.0000,0.9308,0.0393
