epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2978,0.0000,0.2978,0.4473,0.2908,0.0000,0.2908,0.3001
1,0.3004,0.0000,0.3004,0.3334,0.2898,0.0000,0.2898,0.2922
2,0.3009,0.0000,0.3009,0.2883,0.2880,0.0000,0.2880,0.2635
3,0.3015,0.0000,0.3015,0.2602,0.2879,0.0000,0.2879,0.2410
4,0.3006,0.0000,0.3006,0.2403,0.2872,0.0000,0.2872,0.2241
5,0.2941,0.0000,0.2941,0.2253,0.2844,0.0000,0.2844,0.2110
6,0.2928,0.0000,0.2928,0.2126,0.2837,0.0000,0.2837,0.1992
7,0.2899,0.0000,0.2899,0.2017,0.2817,0.0000,0.2817,0.1890
8,0.2866,0.0000,0.2866,0.1918,0.2803,0.0000,0.2803,0.1799
9,0.2843,0.0000,0.2843,0.1833,0.2781,0.0000,0.2781,0.1723
10,0.2829,0.0000,0.2829,0.1759,0.2830,0.0000,0.2830,0.1654
11,0.2819,0.0000,0.2819,0.1697,0.2787,0.0000,0.2787,0.1600
12,0.2838,0.0000,0.2838,0.1645,0.2861,0.0000,0.2861,0.1550
13,0.2920,0.0000,0.2920,0.1597,0.2923,0.0000,0.2923,0.1513
14,0.2965,0.0000,0.2965,0.1563,0.2958,0.0000,0.2958,0.1489
15,0.3019,0.0000,0.3019,0.1541,0.2946,0.0000,0.2946,0.1474
16,0.3405,0.0000,0.3405,0.1530,0.3435,0.0000,0.3435,0.1464
17,0.3601,0.0000,0.3601,0.1519,0.3472,0.0000,0.3472,0.1453
18,0.3677,0.0000,0.3677,0.1505,0.3625,0.0000,0.3625,0.1441
19,0.3742,0.0000,0.3742,0.1493,0.3650,0.0000,0.3650,0.1432
