epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2232,0.0000,0.2232,0.3602,0.2128,0.0000,0.2128,0.2655
1,0.2299,0.0000,0.2299,0.2742,0.2259,0.0000,0.2259,0.2449
2,0.2335,0.0000,0.2335,0.2357,0.2392,0.0000,0.2392,0.2180
3,0.2375,0.0000,0.2375,0.2134,0.2352,0.0000,0.2352,0.1969
4,0.2350,0.0000,0.2350,0.1913,0.2373,0.0000,0.2373,0.1739
5,0.2510,0.0000,0.2510,0.1749,0.2623,0.0000,0.2623,0.1633
6,0.2683,0.0000,0.2683,0.1665,0.2642,0.0000,0.2642,0.1569
7,0.2678,0.0000,0.2678,0.1611,0.2606,0.0000,0.2606,0.1531
8,0.2865,0.0000,0.2865,0.1577,0.2858,0.0000,0.2858,0.1507
9,0.2994,0.0000,0.2994,0.1560,0.2868,0.0000,0.2868,0.1495
10,0.3055,0.0000,0.3055,0.1548,0.3066,0.0000,0.3066,0.1490
11,0.3167,0.0000,0.3167,0.1542,0.3037,0.0000,0.3037,0.1486
12,0.3183,0.0000,0.3183,0.1539,0.3072,0.0000,0.3072,0.1482
13,0.3199,0.0000,0.3199,0.1536,0.3114,0.0000,0.3114,0.1478
14,0.3234,0.0000,0.3234,0.1532,0.3229,0.0000,0.3229,0.1473
15,0.3270,0.0000,0.3270,0.1529,0.3220,0.0000,0.3220,0.1469
16,0.3306,0.0000,0.3306,0.1526,0.3209,0.0000,0.3209,0.1468
17,0.3342,0.0000,0.3342,0.1521,0.3175,0.0000,0.3175,0.1465
18,0.3386,0.0000,0.3386,0.1517,0.3309,0.0000,0.3309,0.1460
19,0.3399,0.0000,0.3399,0.1514,0.3315,0.0000,0.3315,0.1454
