epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2914,0.0000,0.2914,0.4760,0.2705,0.0000,0.2705,0.3369
1,0.2932,0.0000,0.2932,0.3329,0.3065,0.0000,0.3065,0.2830
2,0.3177,0.0000,0.3177,0.2591,0.3509,0.0000,0.3509,0.2249
3,0.3931,0.0000,0.3931,0.2112,0.4436,0.0000,0.4436,0.1819
4,0.4870,0.0000,0.4870,0.1734,0.5405,0.0000,0.5405,0.1491
5,0.5736,0.0000,0.5736,0.1435,0.6139,0.0000,0.6139,0.1233
6,0.6570,0.0000,0.6570,0.1181,0.7079,0.0000,0.7079,0.1013
7,0.7341,0.0000,0.7341,0.0980,0.7460,0.0000,0.7460,0.0860
8,0.7637,0.0000,0.7637,0.0839,0.7591,0.0000,0.7591,0.0756
9,0.7711,0.0000,0.7711,0.0749,0.7624,0.0000,0.7624,0.0693
10,0.7747,0.0000,0.7747,0.0688,0.7645,0.0000,0.7645,0.0650
11,0.7756,0.0000,0.7756,0.0646,0.7648,0.0000,0.7648,0.0614
12,0.7759,0.0000,0.7759,0.0609,0.7650,0.0000,0.7650,0.0581
13,0.7760,0.0000,0.7760,0.0577,0.7649,0.0000,0.7649,0.0552
14,0.7760,0.0000,0.7760,0.0549,0.7650,0.0000,0.7650,0.0527
15,0.7766,0.0000,0.7766,0.0524,0.7636,0.0000,0.7636,0.0507
16,0.7775,0.0000,0.7775,0.0502,0.7680,0.0000,0.7680,0.0487
17,0.7812,0.0000,0.7812,0.0480,0.7703,0.0000,0.7703,0.0463
18,0.7873,0.0000,0.7873,0.0454,0.7722,0.0000,0.7722,0.0436
19,0.8062,0.0000,0.8062,0.0422,0.9109,0.0000,0.9109,0.0408
