epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3931,0.0000,0.3931,0.3246,0.4133,0.0000,0.4133,0.2673
1,0.4753,0.0000,0.4753,0.2392,0.5096,0.0000,0.5096,0.2043
2,0.5459,0.0000,0.5459,0.1927,0.5852,0.0000,0.5852,0.1659
3,0.6134,0.0000,0.6134,0.1585,0.6428,0.0000,0.6428,0.1363
4,0.6774,0.0000,0.6774,0.1291,0.6987,0.0000,0.6987,0.1118
5,0.7363,0.0000,0.7363,0.1059,0.7661,0.0000,0.7661,0.0933
6,0.7917,0.0000,0.7917,0.0895,0.8211,0.0000,0.8211,0.0794
7,0.8431,0.0000,0.8431,0.0772,0.8784,0.0000,0.8784,0.0682
8,0.8930,0.0000,0.8930,0.0661,0.9111,0.0000,0.9111,0.0583
9,0.9286,0.0000,0.9286,0.0554,0.9461,0.0000,0.9461,0.0483
10,0.9495,0.0000,0.9495,0.0457,0.9601,0.0000,0.9601,0.0387
11,0.9682,0.0000,0.9682,0.0365,0.9794,0.0000,0.9794,0.0305
12,0.9832,0.0000,0.9832,0.0281,0.9883,0.0000,0.9883,0.0225
13,0.9886,0.0000,0.9886,0.0208,0.9889,0.0000,0.9889,0.0170
14,0.9922,0.0000,0.9922,0.0157,0.9908,0.0000,0.9908,0.0130
15,0.9950,0.0000,0.9950,0.0116,0.9958,0.0000,0.9958,0.0096
16,0.9970,0.0000,0.9970,0.0085,0.9983,0.0000,0.9983,0.0073
17,0.9982,0.0000,0.9982,0.0068,0.9987,0.0000,0.9987,0.0062
18,0.9983,0.0000,0.9983,0.0058,0.9988,0.0000,0.9988,0.0055
19,0.9984,0.0000,0.9984,0.0051,0.9988,0.0000,0.9988,0.0049
