epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2144,0.0000,0.2144,0.3683,0.2129,0.0000,0.2129,0.2675
1,0.2093,0.0000,0.2093,0.2679,0.2137,0.0000,0.2137,0.2380
2,0.2135,0.0000,0.2135,0.2275,0.2662,0.0000,0.2662,0.2107
3,0.2812,0.0000,0.2812,0.2032,0.2804,0.0000,0.2804,0.1876
4,0.2942,0.0000,0.2942,0.1876,0.2887,0.0000,0.2887,0.1777
5,0.3014,0.0000,0.3014,0.1772,0.2955,0.0000,0.2955,0.1683
6,0.3035,0.0000,0.3035,0.1702,0.2906,0.0000,0.2906,0.1636
7,0.3045,0.0000,0.3045,0.1655,0.2945,0.0000,0.2945,0.1584
8,0.3048,0.0000,0.3048,0.1623,0.2961,0.0000,0.2961,0.1555
9,0.3051,0.0000,0.3051,0.1602,0.2964,0.0000,0.2964,0.1537
10,0.3059,0.0000,0.3059,0.1588,0.2986,0.0000,0.2986,0.1527
11,0.3065,0.0000,0.3065,0.1576,0.3000,0.0000,0.3000,0.1511
12,0.3070,0.0000,0.3070,0.1567,0.3009,0.0000,0.3009,0.1500
13,0.3074,0.0000,0.3074,0.1562,0.3022,0.0000,0.3022,0.1496
14,0.3079,0.0000,0.3079,0.1557,0.3029,0.0000,0.3029,0.1497
15,0.3077,0.0000,0.3077,0.1553,0.3000,0.0000,0.3000,0.1491
16,0.3081,0.0000,0.3081,0.1552,0.3008,0.0000,0.3008,0.1487
17,0.3087,0.0000,0.3087,0.1548,0.3011,0.0000,0.3011,0.1485
18,0.3088,0.0000,0.3088,0.1546,0.3034,0.0000,0.3034,0.1479
19,0.3095,0.0000,0.3095,0.1542,0.3028,0.0000,0.3028,0.1479
