epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2941,0.0000,0.2941,0.3314,0.2908,0.0000,0.2908,0.2631
1,0.3025,0.0000,0.3025,0.2708,0.2906,0.0000,0.2906,0.2294
2,0.3013,0.0000,0.3013,0.2368,0.2899,0.0000,0.2899,0.2066
3,0.2967,0.0000,0.2967,0.2113,0.2899,0.0000,0.2899,0.1891
4,0.2981,0.0000,0.2981,0.1929,0.2894,0.0000,0.2894,0.1739
5,0.3018,0.0000,0.3018,0.1777,0.2895,0.0000,0.2895,0.1636
6,0.3011,0.0000,0.3011,0.1691,0.2910,0.0000,0.2910,0.1577
7,0.3024,0.0000,0.3024,0.1642,0.2915,0.0000,0.2915,0.1550
8,0.3021,0.0000,0.3021,0.1610,0.2917,0.0000,0.2917,0.1533
9,0.3001,0.0000,0.3001,0.1596,0.2912,0.0000,0.2912,0.1519
10,0.2992,0.0000,0.2992,0.1583,0.2918,0.0000,0.2918,0.1512
11,0.3012,0.0000,0.3012,0.1577,0.2925,0.0000,0.2925,0.1508
12,0.3031,0.0000,0.3031,0.1572,0.2930,0.0000,0.2930,0.1503
13,0.2992,0.0000,0.2992,0.1568,0.2953,0.0000,0.2953,0.1496
14,0.2989,0.0000,0.2989,0.1562,0.2948,0.0000,0.2948,0.1490
15,0.3047,0.0000,0.3047,0.1556,0.2934,0.0000,0.2934,0.1487
16,0.3032,0.0000,0.3032,0.1550,0.2945,0.0000,0.2945,0.1478
17,0.3068,0.0000,0.3068,0.1546,0.2948,0.0000,0.2948,0.1478
18,0.3066,0.0000,0.3066,0.1541,0.2972,0.0000,0.2972,0.1473
19,0.3063,0.0000,0.3063,0.1538,0.2973,0.0000,0.2973,0.1472
