epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3015,0.0000,0.3015,0.7039,0.3505,0.0000,0.3505,0.3555
1,0.4265,0.0000,0.4265,0.4717,0.4461,0.0000,0.4461,0.3628
2,0.4418,0.0000,0.4418,0.3263,0.4425,0.0000,0.4425,0.2828
3,0.4635,0.0000,0.4635,0.2650,0.4946,0.0000,0.4946,0.2432
4,0.5623,0.0000,0.5623,0.2381,0.5686,0.0000,0.5686,0.2209
5,0.6021,0.0000,0.6021,0.2178,0.6098,0.0000,0.6098,0.2032
6,0.6307,0.0000,0.6307,0.1998,0.6181,0.0000,0.6181,0.1880
7,0.6495,0.0000,0.6495,0.1842,0.6387,0.0000,0.6387,0.1732
8,0.6674,0.0000,0.6674,0.1695,0.6548,0.0000,0.6548,0.1605
9,0.6820,0.0000,0.6820,0.1565,0.6770,0.0000,0.6770,0.1490
10,0.7032,0.0000,0.7032,0.1446,0.7016,0.0000,0.7016,0.1375
11,0.7205,0.0000,0.7205,0.1332,0.7178,0.0000,0.7178,0.1266
12,0.7412,0.0000,0.7412,0.1221,0.7466,0.0000,0.7466,0.1155
13,0.7603,0.0000,0.7603,0.1109,0.7553,0.0000,0.7553,0.1051
14,0.7678,0.0000,0.7678,0.1014,0.7570,0.0000,0.7570,0.0967
15,0.7695,0.0000,0.7695,0.0933,0.7602,0.0000,0.7602,0.0893
16,0.7709,0.0000,0.7709,0.0865,0.7637,0.0000,0.7637,0.0829
17,0.7743,0.0000,0.7743,0.0804,0.7654,0.0000,0.7654,0.0775
18,0.7755,0.0000,0.7755,0.0754,0.7658,0.0000,0.7658,0.0730
19,0.7758,0.0000,0.7758,0.0712,0.7662,0.0000,0.7662,0.0690
