epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2080,0.0000,0.2080,0.3320,0.2037,0.0000,0.2037,0.2326
1,0.2310,0.0000,0.2310,0.2488,0.2327,0.0000,0.2327,0.2145
2,0.2664,0.0000,0.2664,0.2049,0.2772,0.0000,0.2772,0.1856
3,0.3048,0.0000,0.3048,0.1789,0.3358,0.0000,0.3358,0.1656
4,0.3968,0.0000,0.3968,0.1590,0.4861,0.0000,0.4861,0.1453
5,0.5528,0.0000,0.5528,0.1410,0.6314,0.0000,0.6314,0.1284
6,0.6520,0.0000,0.6520,0.1253,0.6988,0.0000,0.6988,0.1138
7,0.7176,0.0000,0.7176,0.1111,0.7557,0.0000,0.7557,0.1000
8,0.7625,0.0000,0.7625,0.0977,0.7977,0.0000,0.7977,0.0880
9,0.8097,0.0000,0.8097,0.0864,0.8396,0.0000,0.8396,0.0785
10,0.8383,0.0000,0.8383,0.0773,0.8471,0.0000,0.8471,0.0709
11,0.8513,0.0000,0.8513,0.0697,0.8655,0.0000,0.8655,0.0641
12,0.8808,0.0000,0.8808,0.0623,0.9042,0.0000,0.9042,0.0578
13,0.9210,0.0000,0.9210,0.0543,0.9351,0.0000,0.9351,0.0498
14,0.9445,0.0000,0.9445,0.0463,0.9477,0.0000,0.9477,0.0411
15,0.9665,0.0000,0.9665,0.0380,0.9586,0.0000,0.9586,0.0341
16,0.9725,0.0000,0.9725,0.0319,0.9743,0.0000,0.9743,0.0284
17,0.9771,0.0000,0.9771,0.0268,0.9846,0.0000,0.9846,0.0234
18,0.9835,0.0000,0.9835,0.0223,0.9858,0.0000,0.9858,0.0194
19,0.9848,0.0000,0.9848,0.0187,0.9876,0.0000,0.9876,0.0164
