epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.3462,0.0000,0.3462,0.2290,0.3500,0.0000,0.3500,0.1722
1,0.4337,0.0000,0.4337,0.1622,0.4715,0.0000,0.4715,0.1401
2,0.5072,0.0000,0.5072,0.1349,0.5371,0.0000,0.5371,0.1206
3,0.5761,0.0000,0.5761,0.1168,0.6013,0.0000,0.6013,0.1059
4,0.6270,0.0000,0.6270,0.1029,0.6500,0.0000,0.6500,0.0952
5,0.7075,0.0000,0.7075,0.0931,0.7312,0.0000,0.7312,0.0871
6,0.7443,0.0000,0.7443,0.0859,0.7540,0.0000,0.7540,0.0807
7,0.7613,0.0000,0.7613,0.0793,0.7789,0.0000,0.7789,0.0744
8,0.7817,0.0000,0.7817,0.0734,0.7972,0.0000,0.7972,0.0694
9,0.8068,0.0000,0.8068,0.0691,0.8126,0.0000,0.8126,0.0658
10,0.8242,0.0000,0.8242,0.0657,0.8319,0.0000,0.8319,0.0628
11,0.8482,0.0000,0.8482,0.0628,0.8523,0.0000,0.8523,0.0605
12,0.8591,0.0000,0.8591,0.0605,0.8588,0.0000,0.8588,0.0586
13,0.8677,0.0000,0.8677,0.0584,0.8635,0.0000,0.8635,0.0567
14,0.8730,0.0000,0.8730,0.0563,0.8657,0.0000,0.8657,0.0545
15,0.8809,0.0000,0.8809,0.0539,0.8788,0.0000,0.8788,0.0519
16,0.8923,0.0000,0.8923,0.0508,0.8894,0.0000,0.8894,0.0487
17,0.9060,0.0000,0.9060,0.0467,0.9141,0.0000,0.9141,0.0440
18,0.9338,0.0000,0.9338,0.0412,0.9351,0.0000,0.9351,0.0382
19,0.9461,0.0000,0.9461,0.0348,0.9454,0.0000,0.9454,0.0313
