epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.2143,0.0000,0.2143,0.3683,0.2129,0.0000,0.2129,0.2674
1,0.2090,0.0000,0.2090,0.2682,0.2150,0.0000,0.2150,0.2368
2,0.2132,0.0000,0.2132,0.2276,0.2676,0.0000,0.2676,0.2045
3,0.2722,0.0000,0.2722,0.2028,0.2870,0.0000,0.2870,0.1851
4,0.2937,0.0000,0.2937,0.1873,0.2938,0.0000,0.2938,0.1752
5,0.3003,0.0000,0.3003,0.1771,0.2939,0.0000,0.2939,0.1677
6,0.3029,0.0000,0.3029,0.1701,0.2944,0.0000,0.2944,0.1630
7,0.3043,0.0000,0.3043,0.1655,0.2948,0.0000,0.2948,0.1583
8,0.3052,0.0000,0.3052,0.1623,0.2970,0.0000,0.2970,0.1558
9,0.3057,0.0000,0.3057,0.1601,0.2994,0.0000,0.2994,0.1529
10,0.3063,0.0000,0.3063,0.1587,0.3004,0.0000,0.3004,0.1529
11,0.3069,0.0000,0.3069,0.1575,0.2984,0.0000,0.2984,0.1509
12,0.3069,0.0000,0.3069,0.1567,0.2997,0.0000,0.2997,0.1500
13,0.3077,0.0000,0.3077,0.1561,0.2996,0.0000,0.2996,0.1495
14,0.3086,0.0000,0.3086,0.1556,0.3000,0.0000,0.3000,0.1493
15,0.3084,0.0000,0.3084,0.1552,0.3015,0.0000,0.3015,0.1487
16,0.3087,0.0000,0.3087,0.1551,0.3033,0.0000,0.3033,0.1483
17,0.3099,0.0000,0.3099,0.1546,0.3068,0.0000,0.3068,0.1480
18,0.3094,0.0000,0.3094,0.1545,0.2999,0.0000,0.2999,0.1477
19,0.3098,0.0000,0.3098,0.1541,0.3035,0.0000,0.3035,0.1475
