epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7442,0.0000,0.6474,0.3191,0.7499,0.0000,0.6434,0.2686
1,0.7499,0.0000,0.6469,0.2438,0.7518,0.0000,0.6486,0.2170
2,0.7569,0.0000,0.6617,0.2074,0.7592,0.0000,0.6683,0.1848
3,0.7641,0.0000,0.6809,0.1809,0.7653,0.0000,0.6835,0.1603
4,0.7647,0.0000,0.6877,0.1555,0.7652,0.0000,0.6889,0.1347
5,0.7675,0.0000,0.6992,0.1313,0.7740,0.0000,0.7145,0.1131
6,0.7759,0.0000,0.7214,0.1108,0.7824,0.0000,0.7362,0.0963
7,0.8273,0.0000,0.8044,0.0945,0.8511,0.0000,0.8381,0.0843
8,0.8556,0.0000,0.8456,0.0826,0.8603,0.0000,0.8518,0.0749
9,0.8656,0.0000,0.8592,0.0742,0.8707,0.0000,0.8644,0.0683
10,0.8754,0.0000,0.8720,0.0687,0.8773,0.0000,0.8742,0.0641
11,0.8839,0.0000,0.8826,0.0648,0.8827,0.0000,0.8811,0.0612
12,0.8879,0.0000,0.8871,0.0621,0.8845,0.0000,0.8835,0.0589
13,0.8900,0.0000,0.8895,0.0602,0.8858,0.0000,0.8850,0.0575
14,0.8912,0.0000,0.8908,0.0587,0.8867,0.0000,0.8860,0.0563
15,0.8921,0.0000,0.8917,0.0577,0.8873,0.0000,0.8865,0.0553
16,0.8929,0.0000,0.8925,0.0567,0.8893,0.0000,0.8885,0.0546
17,0.8937,0.0000,0.8932,0.0560,0.8899,0.0000,0.8892,0.0538
18,0.8944,0.0000,0.8939,0.0552,0.8902,0.0000,0.8895,0.0533
19,0.8961,0.0000,0.8955,0.0546,0.8927,0.0000,0.8918,0.0527
