epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6368,0.0000,0.6340,0.3228,0.7186,0.0000,0.6543,0.1944
1,0.6716,0.0000,0.6504,0.1948,0.6793,0.0000,0.6495,0.1706
2,0.7401,0.0000,0.6481,0.1645,0.7475,0.0000,0.6447,0.1536
3,0.7488,0.0000,0.6440,0.1587,0.7498,0.0000,0.6430,0.1499
4,0.7495,0.0000,0.6433,0.1557,0.7499,0.0000,0.6429,0.1482
5,0.7498,0.0000,0.6431,0.1545,0.7500,0.0000,0.6429,0.1474
6,0.7498,0.0000,0.6431,0.1538,0.7498,0.0000,0.6428,0.1468
7,0.7498,0.0000,0.6431,0.1531,0.7499,0.0000,0.6428,0.1463
8,0.7499,0.0000,0.6430,0.1526,0.7499,0.0000,0.6428,0.1460
9,0.7499,0.0000,0.6430,0.1521,0.7499,0.0000,0.6428,0.1457
10,0.7500,0.0000,0.6430,0.1517,0.7500,0.0000,0.6429,0.1456
11,0.7499,0.0000,0.6429,0.1514,0.7500,0.0000,0.6429,0.1452
12,0.7500,0.0000,0.6429,0.1510,0.7500,0.0000,0.6429,0.1451
13,0.7500,0.0000,0.6429,0.1506,0.7500,0.0000,0.6429,0.1450
14,0.7499,0.0000,0.6429,0.1501,0.7500,0.0000,0.6429,0.1448
15,0.7500,0.0000,0.6429,0.1497,0.7500,0.0000,0.6429,0.1445
16,0.7500,0.0000,0.6429,0.1495,0.7500,0.0000,0.6429,0.1443
17,0.7500,0.0000,0.6429,0.1488,0.7500,0.0000,0.6429,0.1441
18,0.7500,0.0000,0.6429,0.1487,0.7500,0.0000,0.6429,0.1441
19,0.7500,0.0000,0.6430,0.1482,0.7500,0.0000,0.6429,0.1439
