epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7664,0.0000,0.7120,647.3055,0.1767,0.8119,0.0000,0.7365,595.9090,0.1434
1,0.7986,0.0000,0.7233,644.5943,0.1486,0.8136,0.0000,0.7452,593.9281,0.1384
2,0.8012,0.0000,0.7348,642.8557,0.1445,0.8155,0.0000,0.7544,592.6864,0.1353
3,0.8059,0.0000,0.7497,641.4487,0.1413,0.8163,0.0000,0.7550,592.3848,0.1346
4,0.8109,0.0000,0.7616,640.2934,0.1389,0.8171,0.0000,0.7712,591.1817,0.1337
5,0.8145,0.0000,0.7697,639.4024,0.1370,0.8195,0.0000,0.7714,590.7735,0.1319
6,0.8169,0.0000,0.7744,638.8043,0.1358,0.8188,0.0000,0.7706,590.8594,0.1325
7,0.8187,0.0000,0.7779,638.3664,0.1349,0.8199,0.0000,0.7719,590.6798,0.1321
8,0.8204,0.0000,0.7807,638.0484,0.1341,0.8197,0.0000,0.7668,590.9889,0.1321
9,0.8219,0.0000,0.7835,637.7532,0.1336,0.8197,0.0000,0.7733,590.7260,0.1320
10,0.8232,0.0000,0.7857,637.5311,0.1330,0.8202,0.0000,0.7782,590.1807,0.1320
11,0.8242,0.0000,0.7875,637.2896,0.1325,0.8215,0.0000,0.7767,590.4672,0.1312
12,0.8253,0.0000,0.7896,637.0156,0.1319,0.8225,0.0000,0.7755,590.6604,0.1313
13,0.8260,0.0000,0.7905,636.8589,0.1315,0.8229,0.0000,0.7765,590.3324,0.1310
14,0.8269,0.0000,0.7919,636.6657,0.1310,0.8231,0.0000,0.7781,590.2091,0.1308
15,0.8274,0.0000,0.7928,636.4958,0.1307,0.8225,0.0000,0.7729,590.4804,0.1304
16,0.8282,0.0000,0.7942,636.3102,0.1302,0.8237,0.0000,0.7809,589.9021,0.1304
17,0.8289,0.0000,0.7952,636.1627,0.1299,0.8243,0.0000,0.7804,589.9729,0.1301
18,0.8293,0.0000,0.7958,636.0279,0.1296,0.8246,0.0000,0.7823,589.7834,0.1299
19,0.8299,0.0000,0.7968,635.8477,0.1292,0.8244,0.0000,0.7835,589.7339,0.1302
