epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8623,0.0000,0.8620,617.0776,0.1199,0.9938,0.0102,0.9938,547.1296,0.0308
1,0.9981,0.4219,0.9981,584.9064,0.0122,0.9991,0.6633,0.9991,533.7491,0.0028
2,0.9994,0.7463,0.9994,579.4119,0.0031,0.9989,0.6786,0.9989,533.0812,0.0012
3,0.9996,0.8344,0.9996,578.9878,0.0021,0.9992,0.7449,0.9992,532.2773,0.0009
4,0.9996,0.8386,0.9996,578.8155,0.0018,0.9990,0.6939,0.9990,532.9871,0.0009
5,0.9996,0.8613,0.9996,578.6716,0.0016,0.9992,0.7398,0.9992,532.0944,0.0008
6,0.9996,0.8718,0.9996,578.7014,0.0016,0.9990,0.6786,0.9990,532.9479,0.0008
7,0.9997,0.8898,0.9997,578.5714,0.0015,0.9992,0.7806,0.9992,532.0861,0.0006
8,0.9997,0.8950,0.9997,578.6478,0.0015,0.9993,0.7602,0.9993,532.8280,0.0006
9,0.9997,0.9072,0.9997,578.5524,0.0014,0.9992,0.7704,0.9992,531.2642,0.0009
10,0.9997,0.8987,0.9997,578.5734,0.0013,0.9992,0.7296,0.9992,532.1923,0.0006
11,0.9998,0.9093,0.9998,578.5978,0.0013,0.9992,0.7755,0.9992,532.4463,0.0006
12,0.9998,0.9204,0.9998,578.5224,0.0013,0.9992,0.7602,0.9992,531.6336,0.0007
13,0.9998,0.9351,0.9998,578.4983,0.0011,0.9992,0.7653,0.9992,532.6232,0.0007
14,0.9998,0.9399,0.9998,578.4951,0.0010,0.9994,0.8010,0.9994,532.5080,0.0005
15,0.9998,0.9415,0.9998,578.4712,0.0010,0.9992,0.7959,0.9992,531.9665,0.0006
16,0.9998,0.9415,0.9998,578.4617,0.0009,0.9993,0.7857,0.9993,532.0280,0.0007
17,0.9998,0.9415,0.9998,578.4604,0.0009,0.9994,0.8061,0.9994,532.9467,0.0006
18,0.9999,0.9473,0.9999,578.4490,0.0009,0.9994,0.7908,0.9994,532.0852,0.0005
19,0.9998,0.9330,0.9998,578.4440,0.0009,0.9993,0.7398,0.9993,531.9223,0.0006
