epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8981,0.0538,0.8796,615.1152,0.0976,0.9989,0.6378,0.9989,545.1392,0.0206
1,0.9993,0.7563,0.9993,584.0554,0.0108,0.9993,0.8163,0.9993,534.6131,0.0040
2,0.9997,0.8877,0.9997,579.5070,0.0036,0.9999,0.9694,0.9999,532.4929,0.0014
3,0.9999,0.9647,0.9999,578.7375,0.0023,1.0000,0.9796,1.0000,532.4450,0.0009
4,1.0000,0.9852,1.0000,578.6342,0.0018,1.0000,0.9949,1.0000,532.0988,0.0007
5,1.0000,0.9900,1.0000,578.5577,0.0015,1.0000,0.9949,1.0000,532.6534,0.0006
6,1.0000,0.9921,1.0000,578.5536,0.0014,1.0000,1.0000,1.0000,532.0118,0.0003
7,1.0000,0.9953,1.0000,578.4733,0.0011,1.0000,0.9949,1.0000,532.4925,0.0004
8,1.0000,0.9968,1.0000,578.4698,0.0010,1.0000,1.0000,1.0000,532.6820,0.0004
9,1.0000,0.9979,1.0000,578.4501,0.0010,1.0000,1.0000,1.0000,532.0751,0.0003
10,1.0000,0.9979,1.0000,578.4232,0.0009,1.0000,1.0000,1.0000,532.3079,0.0002
11,1.0000,0.9979,1.0000,578.4005,0.0009,1.0000,1.0000,1.0000,532.0697,0.0002
12,1.0000,0.9979,1.0000,578.4249,0.0009,1.0000,1.0000,1.0000,532.0674,0.0002
13,1.0000,0.9979,1.0000,578.3811,0.0008,1.0000,1.0000,1.0000,531.8540,0.0002
14,1.0000,0.9979,1.0000,578.3707,0.0007,1.0000,1.0000,1.0000,532.0629,0.0001
15,1.0000,0.9979,1.0000,578.3828,0.0008,1.0000,1.0000,1.0000,532.5748,0.0003
16,1.0000,0.9979,1.0000,578.3516,0.0007,1.0000,1.0000,1.0000,532.1576,0.0001
17,1.0000,0.9979,1.0000,578.3447,0.0007,1.0000,1.0000,1.0000,532.0537,0.0001
18,1.0000,0.9979,1.0000,578.3397,0.0007,1.0000,1.0000,1.0000,532.1929,0.0002
19,1.0000,0.9979,1.0000,578.3424,0.0006,1.0000,1.0000,1.0000,532.1468,0.0001
