epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8961,0.0000,0.8933,610.6733,0.0896,0.9562,0.0000,0.9539,543.9677,0.0263
1,0.9951,0.6756,0.9949,587.3796,0.0193,1.0000,0.9796,1.0000,539.4942,0.0165
2,0.9997,0.8687,0.9997,584.4031,0.0142,0.9998,0.9082,0.9998,537.9152,0.0149
3,0.9999,0.9473,0.9999,583.5016,0.0131,1.0000,1.0000,1.0000,537.6900,0.0145
4,1.0000,0.9900,1.0000,583.2447,0.0129,1.0000,1.0000,1.0000,536.5785,0.0152
5,1.0000,0.9989,1.0000,583.0563,0.0127,1.0000,1.0000,1.0000,537.5568,0.0144
6,1.0000,1.0000,1.0000,583.0131,0.0126,1.0000,1.0000,1.0000,537.2861,0.0147
7,1.0000,1.0000,1.0000,583.0047,0.0126,1.0000,1.0000,1.0000,537.6144,0.0144
8,1.0000,1.0000,1.0000,582.9129,0.0124,1.0000,1.0000,1.0000,537.3711,0.0145
9,1.0000,1.0000,1.0000,582.9678,0.0125,1.0000,1.0000,1.0000,537.4916,0.0144
10,1.0000,1.0000,1.0000,582.8673,0.0123,1.0000,1.0000,1.0000,537.3902,0.0145
11,1.0000,0.9968,1.0000,582.8554,0.0123,1.0000,0.9949,1.0000,537.2889,0.0147
12,1.0000,0.9895,1.0000,582.1311,0.0104,1.0000,0.9949,1.0000,536.4564,0.0125
13,1.0000,0.9910,1.0000,581.8327,0.0098,1.0000,0.9949,1.0000,536.3867,0.0124
14,1.0000,0.9953,1.0000,581.7223,0.0096,1.0000,1.0000,1.0000,536.4577,0.0123
15,1.0000,0.9974,1.0000,581.6559,0.0095,1.0000,1.0000,1.0000,537.0178,0.0130
16,1.0000,0.9979,1.0000,581.6045,0.0093,1.0000,1.0000,1.0000,536.3852,0.0131
17,1.0000,1.0000,1.0000,581.5473,0.0093,1.0000,1.0000,1.0000,536.6172,0.0122
18,1.0000,0.9989,1.0000,581.5458,0.0093,1.0000,1.0000,1.0000,536.4931,0.0121
19,1.0000,1.0000,1.0000,581.5432,0.0093,1.0000,1.0000,1.0000,536.6967,0.0129
