epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8946,0.0448,0.8748,616.4487,0.1007,0.9987,0.5612,0.9987,546.0042,0.0214
1,0.9994,0.8038,0.9994,584.4956,0.0110,0.9997,0.9235,0.9997,534.5992,0.0033
2,0.9999,0.9615,0.9999,579.8251,0.0032,1.0000,0.9949,1.0000,533.0931,0.0010
3,1.0000,0.9916,1.0000,579.0132,0.0023,1.0000,1.0000,1.0000,532.3364,0.0009
4,1.0000,0.9931,1.0000,578.8143,0.0020,1.0000,0.9949,1.0000,532.3778,0.0006
5,1.0000,0.9963,1.0000,578.6593,0.0016,1.0000,0.9949,1.0000,532.4937,0.0006
6,1.0000,0.9953,1.0000,578.6256,0.0015,1.0000,1.0000,1.0000,532.0053,0.0004
7,1.0000,0.9974,1.0000,578.5566,0.0013,1.0000,1.0000,1.0000,532.5247,0.0005
8,1.0000,0.9979,1.0000,578.5420,0.0011,1.0000,1.0000,1.0000,532.2695,0.0003
9,1.0000,0.9979,1.0000,578.5142,0.0012,1.0000,1.0000,1.0000,532.1281,0.0003
10,1.0000,0.9979,1.0000,578.4854,0.0010,1.0000,1.0000,1.0000,532.0418,0.0002
11,1.0000,0.9979,1.0000,578.4696,0.0010,1.0000,1.0000,1.0000,532.0259,0.0003
12,1.0000,0.9979,1.0000,578.4796,0.0010,1.0000,1.0000,1.0000,532.1337,0.0003
13,1.0000,0.9979,1.0000,578.4410,0.0009,1.0000,1.0000,1.0000,532.0665,0.0002
14,1.0000,0.9979,1.0000,578.4154,0.0008,1.0000,1.0000,1.0000,532.0903,0.0002
15,1.0000,0.9979,1.0000,578.4303,0.0008,1.0000,1.0000,1.0000,532.4489,0.0002
16,1.0000,0.9979,1.0000,578.3966,0.0007,1.0000,1.0000,1.0000,531.8229,0.0002
17,1.0000,0.9979,1.0000,578.3851,0.0007,1.0000,1.0000,1.0000,532.1012,0.0001
18,1.0000,0.9979,1.0000,578.3878,0.0007,1.0000,1.0000,1.0000,531.8604,0.0002
19,1.0000,0.9979,1.0000,578.3750,0.0007,1.0000,1.0000,1.0000,532.0775,0.0001
