epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7949,0.0000,0.7065,649.2563,0.1933,0.8121,0.0000,0.7280,598.4893,0.1491
1,0.7965,0.0000,0.7067,647.5212,0.1559,0.8121,0.0000,0.7281,596.9102,0.1454
2,0.7972,0.0000,0.7104,646.1337,0.1526,0.8117,0.0000,0.7332,595.6310,0.1433
3,0.7995,0.0000,0.7211,644.7673,0.1496,0.8128,0.0000,0.7361,594.6120,0.1406
4,0.8029,0.0000,0.7319,643.5498,0.1469,0.8140,0.0000,0.7444,594.0841,0.1397
5,0.8053,0.0000,0.7396,642.7155,0.1449,0.8133,0.0000,0.7437,593.7741,0.1386
6,0.8069,0.0000,0.7434,642.1802,0.1436,0.8129,0.0000,0.7523,593.2049,0.1389
7,0.8078,0.0000,0.7464,641.6733,0.1425,0.8152,0.0000,0.7474,593.1274,0.1373
8,0.8090,0.0000,0.7499,641.2180,0.1416,0.8143,0.0000,0.7480,593.1504,0.1374
9,0.8102,0.0000,0.7528,640.8659,0.1407,0.8141,0.0000,0.7537,592.8974,0.1379
10,0.8111,0.0000,0.7548,640.5690,0.1400,0.8140,0.0000,0.7516,592.7187,0.1369
11,0.8119,0.0000,0.7569,640.2888,0.1394,0.8144,0.0000,0.7509,592.7166,0.1367
12,0.8126,0.0000,0.7587,639.9827,0.1388,0.8143,0.0000,0.7527,592.5960,0.1365
13,0.8136,0.0000,0.7608,639.6368,0.1380,0.8147,0.0000,0.7543,592.1396,0.1357
14,0.8144,0.0000,0.7625,639.4074,0.1374,0.8153,0.0000,0.7508,592.3167,0.1355
15,0.8156,0.0000,0.7653,639.0714,0.1367,0.8163,0.0000,0.7532,592.1353,0.1348
16,0.8166,0.0000,0.7676,638.8504,0.1362,0.8177,0.0000,0.7568,591.8759,0.1343
17,0.8173,0.0000,0.7696,638.6293,0.1357,0.8155,0.0000,0.7574,591.8806,0.1350
18,0.8184,0.0000,0.7714,638.4203,0.1351,0.8167,0.0000,0.7598,591.7288,0.1346
19,0.8190,0.0000,0.7727,638.2185,0.1347,0.8173,0.0000,0.7582,591.6533,0.1342
