epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8758,0.0000,0.8547,621.3802,0.1063,0.9663,0.0000,0.9653,552.4936,0.0410
1,0.9940,0.3613,0.9940,585.1809,0.0145,0.9992,0.7194,0.9992,533.9983,0.0029
2,0.9993,0.7911,0.9993,579.6111,0.0033,0.9997,0.9133,0.9997,533.3025,0.0013
3,0.9995,0.8666,0.9995,579.0948,0.0024,0.9997,0.9184,0.9997,533.0625,0.0012
4,0.9996,0.8766,0.9996,578.8653,0.0020,0.9998,0.9184,0.9998,533.1813,0.0009
5,0.9998,0.8866,0.9998,578.7326,0.0016,0.9998,0.9184,0.9998,532.4373,0.0004
6,0.9998,0.8956,0.9998,578.6068,0.0013,0.9998,0.9184,0.9998,532.9359,0.0004
7,0.9998,0.9008,0.9998,578.5375,0.0011,0.9998,0.9184,0.9998,531.5537,0.0002
8,0.9998,0.9024,0.9998,578.5310,0.0010,0.9998,0.9184,0.9998,532.3398,0.0002
9,0.9998,0.9030,0.9998,578.5166,0.0009,0.9999,0.9490,0.9999,532.2964,0.0002
10,0.9998,0.9045,0.9998,578.4340,0.0008,0.9998,0.9184,0.9998,531.7269,0.0001
11,0.9998,0.9051,0.9998,578.4696,0.0008,0.9999,0.9337,0.9999,531.8510,0.0001
12,0.9998,0.9103,0.9998,578.4794,0.0008,0.9999,0.9490,0.9999,532.6937,0.0002
13,0.9998,0.9177,0.9998,578.4029,0.0007,0.9999,0.9235,0.9999,531.9258,0.0002
14,0.9999,0.9357,0.9999,578.3891,0.0006,0.9999,0.9388,0.9999,532.3761,0.0002
15,0.9999,0.9599,0.9999,578.4057,0.0006,1.0000,1.0000,1.0000,532.1627,0.0001
16,1.0000,0.9815,1.0000,578.3951,0.0006,1.0000,1.0000,1.0000,532.8393,0.0002
17,1.0000,0.9868,1.0000,578.3537,0.0005,1.0000,1.0000,1.0000,532.2756,0.0001
18,1.0000,0.9884,1.0000,578.3479,0.0006,1.0000,0.9745,1.0000,532.1950,0.0001
19,1.0000,0.9879,1.0000,578.3695,0.0005,1.0000,1.0000,1.0000,532.0611,0.0001
