epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8519,0.0000,0.8236,627.5821,0.1504,0.9361,0.0000,0.9312,557.0375,0.0562
1,0.9623,0.0327,0.9602,593.1749,0.0346,0.9969,0.2143,0.9969,540.9812,0.0213
2,0.9977,0.3592,0.9977,584.5034,0.0146,0.9993,0.7398,0.9993,534.1008,0.0039
3,0.9989,0.5090,0.9989,579.9953,0.0052,0.9991,0.5510,0.9991,532.9306,0.0012
4,0.9993,0.6419,0.9993,579.2557,0.0034,0.9999,0.9439,0.9999,532.3185,0.0007
5,0.9998,0.8914,0.9998,579.0287,0.0027,1.0000,0.9796,1.0000,532.2463,0.0004
6,1.0000,0.9773,1.0000,578.9239,0.0021,1.0000,1.0000,1.0000,532.6294,0.0004
7,1.0000,0.9989,1.0000,578.8301,0.0018,1.0000,1.0000,1.0000,531.9572,0.0002
8,1.0000,0.9989,1.0000,578.7661,0.0016,1.0000,1.0000,1.0000,532.4686,0.0003
9,1.0000,0.9989,1.0000,578.7830,0.0016,1.0000,1.0000,1.0000,532.4092,0.0001
10,1.0000,0.9989,1.0000,578.6571,0.0013,1.0000,1.0000,1.0000,532.1124,0.0002
11,1.0000,0.9989,1.0000,578.6494,0.0013,1.0000,1.0000,1.0000,532.1876,0.0002
12,1.0000,0.9989,1.0000,578.6838,0.0013,1.0000,1.0000,1.0000,532.3565,0.0002
13,1.0000,0.9989,1.0000,578.5996,0.0012,1.0000,1.0000,1.0000,532.6148,0.0001
14,1.0000,0.9989,1.0000,578.5907,0.0012,1.0000,1.0000,1.0000,531.9027,0.0001
15,1.0000,0.9989,1.0000,578.5908,0.0011,1.0000,1.0000,1.0000,532.7063,0.0002
16,1.0000,0.9989,1.0000,578.5589,0.0012,1.0000,1.0000,1.0000,532.1380,0.0001
17,1.0000,0.9989,1.0000,578.5575,0.0011,1.0000,1.0000,1.0000,532.4059,0.0003
18,1.0000,0.9984,1.0000,578.5139,0.0010,1.0000,1.0000,1.0000,532.4809,0.0001
19,1.0000,0.9989,1.0000,578.5278,0.0011,1.0000,1.0000,1.0000,530.9628,0.0003
