epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7874,0.0000,0.7034,648.6553,0.2051,0.8121,0.0000,0.7280,596.1011,0.1451
1,0.7964,0.0000,0.7063,646.2820,0.1537,0.8121,0.0000,0.7280,595.0361,0.1414
2,0.7964,0.0000,0.7063,645.8467,0.1518,0.8121,0.0000,0.7280,595.4539,0.1407
3,0.7964,0.0000,0.7063,645.6024,0.1509,0.8121,0.0000,0.7280,594.7736,0.1398
4,0.7965,0.0000,0.7067,645.2400,0.1500,0.8121,0.0000,0.7299,594.4557,0.1389
5,0.7966,0.0000,0.7084,644.7406,0.1489,0.8122,0.0000,0.7305,594.3546,0.1385
6,0.7968,0.0000,0.7105,644.3838,0.1481,0.8122,0.0000,0.7318,593.6739,0.1376
7,0.7974,0.0000,0.7146,643.8652,0.1469,0.8122,0.0000,0.7344,593.5756,0.1373
8,0.7986,0.0000,0.7208,643.2168,0.1454,0.8126,0.0000,0.7401,593.3567,0.1371
9,0.8001,0.0000,0.7271,642.6688,0.1442,0.8127,0.0000,0.7412,593.1062,0.1363
10,0.8014,0.0000,0.7325,642.1103,0.1430,0.8144,0.0000,0.7458,592.3267,0.1353
11,0.8026,0.0000,0.7371,641.6849,0.1420,0.8145,0.0000,0.7534,592.2365,0.1345
12,0.8036,0.0000,0.7422,641.2135,0.1411,0.8146,0.0000,0.7519,591.9275,0.1342
13,0.8042,0.0000,0.7452,640.8249,0.1402,0.8148,0.0000,0.7486,591.8063,0.1335
14,0.8059,0.0000,0.7492,640.5182,0.1394,0.8159,0.0000,0.7583,591.2574,0.1332
15,0.8071,0.0000,0.7532,640.2203,0.1388,0.8166,0.0000,0.7648,590.8399,0.1327
16,0.8081,0.0000,0.7563,640.0433,0.1384,0.8165,0.0000,0.7656,590.8490,0.1330
17,0.8091,0.0000,0.7593,639.7892,0.1379,0.8168,0.0000,0.7656,591.1666,0.1327
18,0.8109,0.0000,0.7628,639.4939,0.1372,0.8161,0.0000,0.7658,590.8795,0.1336
19,0.8116,0.0000,0.7648,639.3245,0.1369,0.8158,0.0000,0.7654,590.6463,0.1334
