epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8284,0.0000,0.7775,632.5436,0.1555,0.8793,0.0000,0.8591,570.0225,0.0872
1,0.8866,0.0000,0.8732,610.0123,0.0744,0.9096,0.0000,0.9088,555.9918,0.0534
2,0.9088,0.0000,0.9082,602.7279,0.0562,0.9128,0.0000,0.9125,554.2835,0.0503
3,0.9129,0.0000,0.9122,602.3493,0.0545,0.9185,0.0000,0.9177,554.5455,0.0497
4,0.9291,0.0000,0.9276,601.3549,0.0508,0.9532,0.0000,0.9508,549.6081,0.0334
5,0.9947,0.5058,0.9945,584.2498,0.0113,0.9991,0.6020,0.9991,533.5854,0.0021
6,0.9994,0.7790,0.9994,579.4938,0.0031,0.9988,0.6633,0.9988,533.1845,0.0014
7,0.9995,0.8502,0.9995,579.0732,0.0023,0.9988,0.6684,0.9988,532.7984,0.0011
8,0.9996,0.8824,0.9996,578.8582,0.0018,0.9991,0.7296,0.9991,532.4837,0.0008
9,0.9998,0.9293,0.9998,578.8338,0.0017,0.9997,0.9082,0.9997,532.5704,0.0007
10,0.9999,0.9742,0.9999,578.6948,0.0014,0.9999,0.9847,0.9999,531.9284,0.0005
11,1.0000,0.9868,1.0000,578.6611,0.0013,0.9994,0.9541,0.9994,532.4308,0.0013
12,1.0000,0.9958,1.0000,578.6620,0.0012,0.9999,0.9745,0.9999,532.0413,0.0005
13,1.0000,0.9979,1.0000,578.6656,0.0012,1.0000,0.9898,1.0000,532.4003,0.0003
14,1.0000,0.9963,1.0000,578.5886,0.0011,1.0000,0.9898,1.0000,532.6202,0.0004
15,1.0000,0.9989,1.0000,578.5927,0.0011,1.0000,0.9898,1.0000,532.4045,0.0003
16,1.0000,0.9989,1.0000,578.5554,0.0010,0.9989,0.9337,0.9989,533.1602,0.0013
17,1.0000,0.9989,1.0000,578.5237,0.0010,0.9996,0.9745,0.9996,531.4758,0.0005
18,1.0000,0.9974,1.0000,578.5031,0.0009,0.9993,0.9592,0.9993,532.5984,0.0007
19,1.0000,0.9989,1.0000,578.4731,0.0009,0.9998,0.9745,0.9998,531.8423,0.0004
