epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8753,0.0000,0.8540,621.7494,0.1072,0.9639,0.0000,0.9631,553.2944,0.0441
1,0.9927,0.4589,0.9926,585.6602,0.0155,0.9995,0.8265,0.9995,533.6631,0.0022
2,0.9995,0.8528,0.9995,579.4003,0.0029,0.9995,0.8367,0.9995,532.9950,0.0011
3,0.9995,0.8671,0.9995,578.9820,0.0022,0.9996,0.8980,0.9996,533.0287,0.0008
4,0.9995,0.8739,0.9995,578.8401,0.0019,0.9996,0.8571,0.9996,533.1560,0.0008
5,0.9996,0.8766,0.9996,578.8004,0.0017,0.9997,0.8520,0.9997,532.6069,0.0006
6,0.9997,0.8840,0.9997,578.7509,0.0016,0.9998,0.9133,0.9998,533.2170,0.0005
7,0.9998,0.8892,0.9998,578.6708,0.0014,0.9998,0.9184,0.9998,531.2867,0.0005
8,0.9998,0.8935,0.9998,578.6721,0.0013,0.9998,0.9184,0.9998,531.5166,0.0004
9,0.9998,0.8919,0.9998,578.5992,0.0011,0.9998,0.9184,0.9998,532.6948,0.0006
10,0.9998,0.8972,0.9998,578.5208,0.0010,0.9998,0.9184,0.9998,531.7651,0.0003
11,0.9998,0.8940,0.9998,578.5353,0.0009,0.9998,0.9184,0.9998,532.1706,0.0003
12,0.9998,0.8945,0.9998,578.5377,0.0010,0.9998,0.9184,0.9998,532.6360,0.0002
13,0.9998,0.8993,0.9998,578.4901,0.0009,0.9998,0.9184,0.9998,531.9238,0.0004
14,0.9998,0.8966,0.9998,578.4414,0.0008,0.9998,0.9184,0.9998,532.9232,0.0005
15,0.9998,0.8993,0.9998,578.4690,0.0008,0.9998,0.9184,0.9998,532.3168,0.0002
16,0.9998,0.9014,0.9998,578.4528,0.0007,0.9998,0.9184,0.9998,532.4469,0.0002
17,0.9998,0.8987,0.9998,578.4086,0.0007,0.9998,0.9184,0.9998,532.3405,0.0002
18,0.9998,0.8982,0.9998,578.3919,0.0007,0.9998,0.9184,0.9998,532.2620,0.0003
19,0.9998,0.8998,0.9998,578.4134,0.0006,0.9998,0.9184,0.9998,532.1178,0.0002
