epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8850,0.0000,0.8694,615.8133,0.1224,0.9471,0.0000,0.9456,551.6681,0.0462
1,0.9862,0.1577,0.9860,586.2675,0.0192,0.9982,0.4388,0.9982,533.3773,0.0047
2,0.9988,0.6081,0.9988,579.7984,0.0039,0.9996,0.8980,0.9996,532.0705,0.0015
3,0.9994,0.8291,0.9994,579.1401,0.0024,0.9997,0.9184,0.9997,532.6193,0.0008
4,0.9996,0.8792,0.9996,578.8775,0.0019,0.9997,0.9133,0.9997,532.4392,0.0005
5,0.9996,0.8882,0.9996,578.7498,0.0016,0.9998,0.9184,0.9998,532.1367,0.0005
6,0.9997,0.8914,0.9997,578.6884,0.0015,0.9998,0.9184,0.9998,532.2947,0.0005
7,0.9998,0.8940,0.9998,578.6392,0.0013,0.9998,0.9184,0.9998,532.1417,0.0003
8,0.9998,0.8935,0.9998,578.5977,0.0012,0.9998,0.9184,0.9998,532.5490,0.0003
9,0.9998,0.8940,0.9998,578.5810,0.0011,0.9998,0.9184,0.9998,531.7096,0.0003
10,0.9998,0.8940,0.9998,578.5263,0.0010,0.9998,0.9184,0.9998,532.8598,0.0003
11,0.9998,0.8935,0.9998,578.4849,0.0010,0.9998,0.9184,0.9998,532.2197,0.0002
12,0.9998,0.8929,0.9998,578.4906,0.0009,0.9998,0.9184,0.9998,532.6264,0.0002
13,0.9998,0.8929,0.9998,578.4477,0.0008,0.9998,0.9184,0.9998,532.8958,0.0002
14,0.9998,0.8929,0.9998,578.4537,0.0009,0.9998,0.9184,0.9998,532.1932,0.0002
15,0.9998,0.8929,0.9998,578.4528,0.0009,0.9998,0.9184,0.9998,532.4015,0.0002
16,0.9998,0.8924,0.9998,578.4334,0.0009,0.9998,0.9184,0.9998,532.3256,0.0002
17,0.9998,0.8935,0.9998,578.4221,0.0008,0.9998,0.9184,0.9998,531.7662,0.0002
18,0.9998,0.8940,0.9998,578.3947,0.0007,0.9998,0.9184,0.9998,532.6041,0.0002
19,0.9998,0.8940,0.9998,578.4037,0.0008,0.9998,0.9184,0.9998,532.0385,0.0001
