epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7793,0.0000,0.7032,0.1790,0.8121,0.0000,0.7280,0.1437
1,0.7964,0.0000,0.7063,0.1539,0.8121,0.0000,0.7280,0.1412
2,0.7964,0.0000,0.7063,0.1519,0.8121,0.0000,0.7280,0.1403
3,0.7964,0.0000,0.7063,0.1504,0.8121,0.0000,0.7280,0.1394
4,0.7966,0.0000,0.7091,0.1492,0.8125,0.0000,0.7300,0.1381
5,0.7971,0.0000,0.7124,0.1479,0.8130,0.0000,0.7352,0.1375
6,0.7974,0.0000,0.7164,0.1463,0.8130,0.0000,0.7339,0.1364
7,0.7988,0.0000,0.7243,0.1445,0.8134,0.0000,0.7385,0.1358
8,0.8010,0.0000,0.7318,0.1425,0.8142,0.0000,0.7423,0.1348
9,0.8044,0.0000,0.7405,0.1401,0.8144,0.0000,0.7497,0.1337
10,0.8070,0.0000,0.7477,0.1380,0.8156,0.0000,0.7503,0.1329
11,0.8094,0.0000,0.7521,0.1362,0.8154,0.0000,0.7536,0.1332
12,0.8108,0.0000,0.7558,0.1348,0.8156,0.0000,0.7533,0.1325
13,0.8129,0.0000,0.7688,0.1332,0.8169,0.0000,0.7715,0.1313
14,0.8162,0.0000,0.7852,0.1314,0.8174,0.0000,0.7769,0.1306
15,0.8192,0.0000,0.7899,0.1300,0.8208,0.0000,0.7790,0.1293
16,0.8217,0.0000,0.7936,0.1288,0.8210,0.0000,0.7805,0.1294
17,0.8248,0.0000,0.7984,0.1274,0.8203,0.0000,0.7850,0.1291
18,0.8264,0.0000,0.8011,0.1264,0.8227,0.0000,0.7837,0.1280
19,0.8284,0.0000,0.8039,0.1253,0.8229,0.0000,0.7853,0.1278
