epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7898,0.0000,0.7028,0.1837,0.7926,0.0000,0.7010,0.1604
1,0.7932,0.0000,0.7018,0.1601,0.7926,0.0000,0.7010,0.1580
2,0.7932,0.0000,0.7018,0.1579,0.7926,0.0000,0.7010,0.1571
3,0.7932,0.0000,0.7018,0.1568,0.7926,0.0000,0.7010,0.1560
4,0.7932,0.0000,0.7019,0.1560,0.7926,0.0000,0.7010,0.1554
5,0.7932,0.0000,0.7019,0.1550,0.7926,0.0000,0.7010,0.1542
6,0.7932,0.0000,0.7019,0.1542,0.7926,0.0000,0.7010,0.1536
7,0.7931,0.0000,0.7019,0.1536,0.7926,0.0000,0.7010,0.1532
8,0.7931,0.0000,0.7019,0.1531,0.7926,0.0000,0.7010,0.1522
9,0.7931,0.0000,0.7023,0.1521,0.7926,0.0000,0.7012,0.1514
10,0.7932,0.0000,0.7054,0.1510,0.7932,0.0000,0.7066,0.1500
11,0.7942,0.0000,0.7133,0.1498,0.7946,0.0000,0.7145,0.1488
12,0.7950,0.0000,0.7177,0.1489,0.7955,0.0000,0.7163,0.1479
13,0.7955,0.0000,0.7205,0.1482,0.7970,0.0000,0.7269,0.1475
14,0.7963,0.0000,0.7235,0.1473,0.7975,0.0000,0.7282,0.1464
15,0.7969,0.0000,0.7262,0.1466,0.7976,0.0000,0.7262,0.1455
16,0.7976,0.0000,0.7294,0.1460,0.7975,0.0000,0.7254,0.1456
17,0.7979,0.0000,0.7305,0.1454,0.7985,0.0000,0.7317,0.1448
18,0.7980,0.0000,0.7325,0.1449,0.8001,0.0000,0.7352,0.1436
19,0.7991,0.0000,0.7359,0.1442,0.8006,0.0000,0.7321,0.1433
