epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7779,0.0000,0.6872,0.1923,0.7825,0.0000,0.6893,0.1685
1,0.7814,0.0000,0.6859,0.1683,0.7834,0.0000,0.6890,0.1652
2,0.7815,0.0000,0.6858,0.1665,0.7837,0.0000,0.6889,0.1635
3,0.7814,0.0000,0.6859,0.1648,0.7837,0.0000,0.6888,0.1619
4,0.7813,0.0000,0.6872,0.1633,0.7842,0.0000,0.6916,0.1604
5,0.7818,0.0000,0.6920,0.1621,0.7843,0.0000,0.6960,0.1594
6,0.7823,0.0000,0.6948,0.1611,0.7845,0.0000,0.6968,0.1586
7,0.7827,0.0000,0.6963,0.1603,0.7851,0.0000,0.6978,0.1580
8,0.7830,0.0000,0.6973,0.1596,0.7851,0.0000,0.6973,0.1573
9,0.7831,0.0000,0.6985,0.1592,0.7852,0.0000,0.7018,0.1570
10,0.7836,0.0000,0.6999,0.1587,0.7855,0.0000,0.7029,0.1568
11,0.7837,0.0000,0.7009,0.1583,0.7856,0.0000,0.7042,0.1564
12,0.7841,0.0000,0.7030,0.1577,0.7863,0.0000,0.7055,0.1561
13,0.7847,0.0000,0.7047,0.1572,0.7868,0.0000,0.7047,0.1551
14,0.7851,0.0000,0.7070,0.1565,0.7872,0.0000,0.7083,0.1545
15,0.7855,0.0000,0.7077,0.1561,0.7872,0.0000,0.7065,0.1544
16,0.7854,0.0000,0.7075,0.1558,0.7876,0.0000,0.7069,0.1539
17,0.7861,0.0000,0.7097,0.1552,0.7886,0.0000,0.7106,0.1532
18,0.7866,0.0000,0.7116,0.1547,0.7880,0.0000,0.7064,0.1528
19,0.7869,0.0000,0.7129,0.1542,0.7895,0.0000,0.7138,0.1527
