epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7767,0.0000,0.6999,0.1911,0.7926,0.0000,0.7010,0.1580
1,0.7932,0.0000,0.7018,0.1577,0.7926,0.0000,0.7010,0.1565
2,0.7932,0.0000,0.7018,0.1562,0.7926,0.0000,0.7010,0.1555
3,0.7932,0.0000,0.7018,0.1546,0.7926,0.0000,0.7010,0.1535
4,0.7932,0.0000,0.7021,0.1528,0.7928,0.0000,0.7022,0.1520
5,0.7934,0.0000,0.7052,0.1510,0.7942,0.0000,0.7113,0.1502
6,0.7949,0.0000,0.7134,0.1489,0.7954,0.0000,0.7162,0.1489
7,0.7962,0.0000,0.7202,0.1476,0.7962,0.0000,0.7212,0.1469
8,0.7972,0.0000,0.7258,0.1464,0.7975,0.0000,0.7255,0.1457
9,0.7977,0.0000,0.7291,0.1459,0.7981,0.0000,0.7353,0.1450
10,0.7990,0.0000,0.7358,0.1449,0.7991,0.0000,0.7296,0.1440
11,0.8016,0.0000,0.7431,0.1435,0.8030,0.0000,0.7402,0.1429
12,0.8043,0.0000,0.7498,0.1418,0.8051,0.0000,0.7512,0.1410
13,0.8064,0.0000,0.7550,0.1400,0.8072,0.0000,0.7511,0.1388
14,0.8087,0.0000,0.7601,0.1380,0.8104,0.0000,0.7622,0.1366
15,0.8105,0.0000,0.7645,0.1363,0.8110,0.0000,0.7670,0.1354
16,0.8120,0.0000,0.7676,0.1349,0.8101,0.0000,0.7596,0.1364
17,0.8138,0.0000,0.7710,0.1332,0.8140,0.0000,0.7668,0.1330
18,0.8152,0.0000,0.7737,0.1321,0.8148,0.0000,0.7724,0.1317
19,0.8171,0.0000,0.7771,0.1309,0.8155,0.0000,0.7758,0.1314
