epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7635,0.0000,0.6837,0.2016,0.7837,0.0000,0.6888,0.1660
1,0.7815,0.0000,0.6858,0.1661,0.7837,0.0000,0.6888,0.1622
2,0.7815,0.0000,0.6858,0.1641,0.7837,0.0000,0.6888,0.1612
3,0.7815,0.0000,0.6858,0.1627,0.7837,0.0000,0.6888,0.1602
4,0.7815,0.0000,0.6857,0.1620,0.7837,0.0000,0.6888,0.1596
5,0.7815,0.0000,0.6857,0.1612,0.7837,0.0000,0.6888,0.1587
6,0.7815,0.0000,0.6860,0.1602,0.7838,0.0000,0.6888,0.1578
7,0.7818,0.0000,0.6875,0.1590,0.7839,0.0000,0.6922,0.1562
8,0.7820,0.0000,0.6910,0.1573,0.7848,0.0000,0.6948,0.1547
9,0.7832,0.0000,0.6988,0.1550,0.7864,0.0000,0.7128,0.1525
10,0.7854,0.0000,0.7113,0.1530,0.7886,0.0000,0.7121,0.1507
11,0.7875,0.0000,0.7173,0.1510,0.7903,0.0000,0.7172,0.1488
12,0.7901,0.0000,0.7256,0.1489,0.7940,0.0000,0.7307,0.1469
13,0.7930,0.0000,0.7325,0.1473,0.7976,0.0000,0.7404,0.1451
14,0.7964,0.0000,0.7424,0.1457,0.8006,0.0000,0.7477,0.1436
15,0.8003,0.0000,0.7520,0.1438,0.8032,0.0000,0.7526,0.1422
16,0.8037,0.0000,0.7594,0.1426,0.8068,0.0000,0.7599,0.1408
17,0.8065,0.0000,0.7647,0.1411,0.8084,0.0000,0.7609,0.1400
18,0.8088,0.0000,0.7692,0.1399,0.8071,0.0000,0.7611,0.1397
19,0.8095,0.0000,0.7713,0.1390,0.8102,0.0000,0.7655,0.1391
