epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.8136,0.0000,0.7526,0.1770,0.8442,0.0000,0.8093,0.1063
1,0.8681,0.0000,0.8461,0.0900,0.8847,0.0000,0.8679,0.0717
2,0.8960,0.0000,0.8889,0.0626,0.9053,0.0000,0.9046,0.0563
3,0.9056,0.0000,0.9048,0.0564,0.9081,0.0000,0.9076,0.0546
4,0.9102,0.0000,0.9092,0.0531,0.9385,0.0000,0.9376,0.0435
5,0.9875,0.3253,0.9874,0.0210,0.9994,0.7038,0.9994,0.0049
6,0.9995,0.7678,0.9995,0.0041,0.9998,0.9321,0.9998,0.0014
7,0.9997,0.8822,0.9997,0.0026,0.9999,0.9592,0.9999,0.0011
8,0.9998,0.9185,0.9998,0.0022,0.9999,0.9701,0.9999,0.0008
9,0.9998,0.9185,0.9998,0.0019,0.9999,0.9701,0.9999,0.0006
10,0.9999,0.9308,0.9999,0.0017,0.9999,0.9701,0.9999,0.0006
11,0.9999,0.9425,0.9999,0.0014,0.9999,0.9620,0.9999,0.0005
12,0.9999,0.9500,0.9999,0.0013,0.9999,0.9701,0.9999,0.0005
13,0.9999,0.9507,0.9999,0.0012,0.9999,0.9701,0.9999,0.0005
14,0.9999,0.9486,0.9999,0.0012,0.9999,0.9701,0.9999,0.0004
15,0.9999,0.9616,0.9999,0.0011,0.9999,0.9728,0.9999,0.0004
16,0.9999,0.9678,0.9999,0.0009,1.0000,0.9837,1.0000,0.0003
17,1.0000,0.9863,1.0000,0.0008,1.0000,0.9946,1.0000,0.0003
18,1.0000,0.9870,1.0000,0.0008,1.0000,0.9946,1.0000,0.0002
19,1.0000,0.9938,1.0000,0.0006,1.0000,0.9973,1.0000,0.0002
