epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7897,0.0000,0.7023,0.2484,0.7926,0.0000,0.7010,0.1777
1,0.7932,0.0000,0.7018,0.1660,0.7926,0.0000,0.7010,0.1616
2,0.7932,0.0000,0.7018,0.1604,0.7926,0.0000,0.7010,0.1595
3,0.7932,0.0000,0.7018,0.1584,0.7926,0.0000,0.7010,0.1578
4,0.7932,0.0000,0.7018,0.1570,0.7926,0.0000,0.7010,0.1568
5,0.7932,0.0000,0.7019,0.1561,0.7926,0.0000,0.7010,0.1559
6,0.7932,0.0000,0.7019,0.1551,0.7926,0.0000,0.7010,0.1548
7,0.7932,0.0000,0.7018,0.1542,0.7926,0.0000,0.7010,0.1539
8,0.7932,0.0000,0.7020,0.1534,0.7925,0.0000,0.7014,0.1531
9,0.7933,0.0000,0.7033,0.1526,0.7928,0.0000,0.7019,0.1524
10,0.7935,0.0000,0.7044,0.1522,0.7929,0.0000,0.7032,0.1519
11,0.7936,0.0000,0.7053,0.1516,0.7932,0.0000,0.7057,0.1513
12,0.7937,0.0000,0.7062,0.1512,0.7934,0.0000,0.7062,0.1509
13,0.7941,0.0000,0.7079,0.1503,0.7937,0.0000,0.7062,0.1501
14,0.7943,0.0000,0.7085,0.1496,0.7945,0.0000,0.7099,0.1492
15,0.7951,0.0000,0.7112,0.1488,0.7943,0.0000,0.7099,0.1488
16,0.7951,0.0000,0.7122,0.1480,0.7946,0.0000,0.7121,0.1479
17,0.7956,0.0000,0.7142,0.1474,0.7952,0.0000,0.7158,0.1476
18,0.7956,0.0000,0.7154,0.1471,0.7954,0.0000,0.7133,0.1465
19,0.7961,0.0000,0.7176,0.1464,0.7961,0.0000,0.7178,0.1458
