epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7776,0.0000,0.6858,0.2570,0.7836,0.0000,0.6888,0.1803
1,0.7815,0.0000,0.6857,0.1748,0.7837,0.0000,0.6888,0.1671
2,0.7815,0.0000,0.6857,0.1681,0.7837,0.0000,0.6888,0.1643
3,0.7815,0.0000,0.6857,0.1665,0.7837,0.0000,0.6888,0.1629
4,0.7815,0.0000,0.6858,0.1658,0.7837,0.0000,0.6888,0.1625
5,0.7815,0.0000,0.6857,0.1653,0.7837,0.0000,0.6888,0.1623
6,0.7815,0.0000,0.6857,0.1649,0.7837,0.0000,0.6888,0.1618
7,0.7815,0.0000,0.6858,0.1646,0.7837,0.0000,0.6888,0.1618
8,0.7816,0.0000,0.6859,0.1642,0.7837,0.0000,0.6888,0.1616
9,0.7815,0.0000,0.6857,0.1639,0.7837,0.0000,0.6888,0.1610
10,0.7816,0.0000,0.6858,0.1628,0.7837,0.0000,0.6888,0.1619
11,0.7815,0.0000,0.6858,0.1620,0.7837,0.0000,0.6888,0.1599
12,0.7815,0.0000,0.6857,0.1615,0.7837,0.0000,0.6888,0.1609
13,0.7815,0.0000,0.6858,0.1612,0.7837,0.0000,0.6888,0.1597
14,0.7816,0.0000,0.6859,0.1610,0.7837,0.0000,0.6888,0.1597
15,0.7815,0.0000,0.6858,0.1608,0.7837,0.0000,0.6888,0.1591
16,0.7815,0.0000,0.6858,0.1601,0.7837,0.0000,0.6888,0.1589
17,0.7815,0.0000,0.6860,0.1596,0.7837,0.0000,0.6888,0.1575
18,0.7817,0.0000,0.6869,0.1592,0.7837,0.0000,0.6888,0.1574
19,0.7819,0.0000,0.6881,0.1588,0.7837,0.0000,0.6888,0.1569
