epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7707,0.0000,0.6996,0.1874,0.7919,0.0000,0.7011,0.1582
1,0.7932,0.0000,0.7019,0.1576,0.7918,0.0000,0.7015,0.1557
2,0.7932,0.0000,0.7019,0.1556,0.7926,0.0000,0.7010,0.1540
3,0.7932,0.0000,0.7019,0.1540,0.7926,0.0000,0.7010,0.1523
4,0.7932,0.0000,0.7019,0.1522,0.7926,0.0000,0.7010,0.1511
5,0.7931,0.0000,0.7026,0.1508,0.7926,0.0000,0.7010,0.1499
6,0.7932,0.0000,0.7069,0.1492,0.7929,0.0000,0.7097,0.1477
7,0.7946,0.0000,0.7144,0.1472,0.7952,0.0000,0.7200,0.1458
8,0.7967,0.0000,0.7238,0.1449,0.7992,0.0000,0.7321,0.1433
9,0.7994,0.0000,0.7325,0.1429,0.8004,0.0000,0.7351,0.1415
10,0.8037,0.0000,0.7427,0.1405,0.8043,0.0000,0.7397,0.1396
11,0.8069,0.0000,0.7498,0.1385,0.8092,0.0000,0.7519,0.1365
12,0.8093,0.0000,0.7551,0.1365,0.8116,0.0000,0.7586,0.1348
13,0.8131,0.0000,0.7633,0.1332,0.8137,0.0000,0.7643,0.1319
14,0.8152,0.0000,0.7687,0.1312,0.8169,0.0000,0.7692,0.1293
15,0.8191,0.0000,0.7776,0.1292,0.8173,0.0000,0.7676,0.1302
16,0.8228,0.0000,0.7836,0.1274,0.8241,0.0000,0.7832,0.1272
17,0.8249,0.0000,0.7879,0.1262,0.8241,0.0000,0.7819,0.1262
18,0.8270,0.0000,0.7903,0.1249,0.8287,0.0000,0.7926,0.1227
19,0.8291,0.0000,0.7943,0.1234,0.8306,0.0000,0.7975,0.1225
