epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7590,0.0000,0.6830,0.1947,0.7837,0.0000,0.6892,0.1650
1,0.7815,0.0000,0.6860,0.1647,0.7838,0.0000,0.6888,0.1607
2,0.7814,0.0000,0.6859,0.1620,0.7837,0.0000,0.6888,0.1589
3,0.7814,0.0000,0.6863,0.1600,0.7838,0.0000,0.6895,0.1571
4,0.7816,0.0000,0.6887,0.1580,0.7840,0.0000,0.6912,0.1548
5,0.7840,0.0000,0.7020,0.1551,0.7886,0.0000,0.7136,0.1524
6,0.7883,0.0000,0.7187,0.1517,0.7920,0.0000,0.7245,0.1488
7,0.7921,0.0000,0.7337,0.1490,0.7964,0.0000,0.7440,0.1466
8,0.7959,0.0000,0.7485,0.1466,0.7979,0.0000,0.7480,0.1449
9,0.8018,0.0000,0.7609,0.1438,0.8054,0.0000,0.7620,0.1418
10,0.8055,0.0000,0.7681,0.1418,0.8079,0.0000,0.7700,0.1403
11,0.8079,0.0000,0.7725,0.1403,0.8098,0.0000,0.7692,0.1389
12,0.8105,0.0000,0.7768,0.1387,0.8094,0.0000,0.7723,0.1383
13,0.8128,0.0000,0.7806,0.1375,0.8122,0.0000,0.7781,0.1373
14,0.8144,0.0000,0.7842,0.1360,0.8175,0.0000,0.7839,0.1342
15,0.8171,0.0000,0.7883,0.1344,0.8187,0.0000,0.7872,0.1334
16,0.8203,0.0000,0.7935,0.1328,0.8229,0.0000,0.7939,0.1310
17,0.8230,0.0000,0.7975,0.1314,0.8230,0.0000,0.7951,0.1303
18,0.8257,0.0000,0.8018,0.1297,0.8257,0.0000,0.7985,0.1290
19,0.8275,0.0000,0.8042,0.1284,0.8279,0.0000,0.8008,0.1274
