epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7937,0.0000,0.7102,0.1731,0.8121,0.0000,0.7280,0.1423
1,0.7964,0.0000,0.7073,0.1517,0.8121,0.0000,0.7280,0.1391
2,0.7964,0.0000,0.7071,0.1495,0.8121,0.0000,0.7280,0.1375
3,0.7964,0.0000,0.7068,0.1481,0.8121,0.0000,0.7281,0.1365
4,0.7964,0.0000,0.7102,0.1467,0.8121,0.0000,0.7281,0.1354
5,0.7967,0.0000,0.7213,0.1455,0.8121,0.0000,0.7281,0.1348
6,0.7989,0.0000,0.7418,0.1444,0.8135,0.0000,0.7607,0.1344
7,0.8002,0.0000,0.7494,0.1436,0.8130,0.0000,0.7607,0.1341
8,0.8008,0.0000,0.7508,0.1431,0.8147,0.0000,0.7591,0.1339
9,0.8011,0.0000,0.7521,0.1426,0.8141,0.0000,0.7609,0.1338
10,0.8014,0.0000,0.7538,0.1421,0.8146,0.0000,0.7632,0.1332
11,0.8020,0.0000,0.7546,0.1417,0.8151,0.0000,0.7619,0.1332
12,0.8022,0.0000,0.7555,0.1415,0.8139,0.0000,0.7628,0.1329
13,0.8024,0.0000,0.7569,0.1409,0.8149,0.0000,0.7641,0.1326
14,0.8030,0.0000,0.7590,0.1405,0.8147,0.0000,0.7652,0.1322
15,0.8034,0.0000,0.7607,0.1402,0.8151,0.0000,0.7700,0.1322
16,0.8040,0.0000,0.7623,0.1398,0.8149,0.0000,0.7659,0.1324
17,0.8048,0.0000,0.7642,0.1394,0.8148,0.0000,0.7738,0.1326
18,0.8056,0.0000,0.7659,0.1391,0.8140,0.0000,0.7726,0.1326
19,0.8063,0.0000,0.7669,0.1389,0.8157,0.0000,0.7717,0.1320
