epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7894,0.0000,0.7061,648.7379,0.1686,0.8121,0.0000,0.7280,597.9600,0.1470
1,0.7964,0.0000,0.7063,647.6704,0.1557,0.8121,0.0000,0.7280,596.9846,0.1441
2,0.7964,0.0000,0.7063,647.0062,0.1541,0.8121,0.0000,0.7280,596.3306,0.1425
3,0.7964,0.0000,0.7067,646.5200,0.1530,0.8121,0.0000,0.7281,595.7932,0.1411
4,0.7965,0.0000,0.7074,646.0839,0.1522,0.8121,0.0000,0.7280,595.5514,0.1408
5,0.7966,0.0000,0.7078,645.8428,0.1516,0.8121,0.0000,0.7280,595.3494,0.1405
6,0.7966,0.0000,0.7079,645.5985,0.1510,0.8120,0.0000,0.7288,595.1108,0.1403
7,0.7968,0.0000,0.7091,645.3626,0.1505,0.8119,0.0000,0.7293,595.0276,0.1401
8,0.7969,0.0000,0.7104,645.1454,0.1500,0.8121,0.0000,0.7298,594.6332,0.1396
9,0.7969,0.0000,0.7105,644.9097,0.1494,0.8122,0.0000,0.7306,594.5356,0.1395
10,0.7970,0.0000,0.7108,644.8600,0.1494,0.8119,0.0000,0.7306,594.6475,0.1398
11,0.7971,0.0000,0.7113,644.6510,0.1489,0.8124,0.0000,0.7309,594.4466,0.1389
12,0.7973,0.0000,0.7117,644.5319,0.1486,0.8118,0.0000,0.7331,594.2770,0.1390
13,0.7973,0.0000,0.7120,644.4109,0.1483,0.8130,0.0000,0.7331,594.3592,0.1387
14,0.7974,0.0000,0.7130,644.3019,0.1481,0.8128,0.0000,0.7355,594.5859,0.1395
15,0.7975,0.0000,0.7137,644.1817,0.1478,0.8121,0.0000,0.7308,594.6835,0.1400
16,0.7977,0.0000,0.7140,644.1806,0.1478,0.8126,0.0000,0.7311,594.3899,0.1389
17,0.7979,0.0000,0.7149,644.0480,0.1475,0.8124,0.0000,0.7307,594.7356,0.1393
18,0.7982,0.0000,0.7156,643.8644,0.1471,0.8130,0.0000,0.7337,594.0543,0.1388
19,0.7980,0.0000,0.7159,643.7895,0.1469,0.8128,0.0000,0.7336,594.0870,0.1388
