epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8911,0.0243,0.8569,617.9269,0.1354,0.9972,0.1837,0.9972,544.6627,0.0321
1,0.9983,0.4995,0.9983,585.4492,0.0200,0.9997,0.8316,0.9997,536.1457,0.0089
2,0.9997,0.8423,0.9997,580.2383,0.0058,1.0000,0.9949,1.0000,534.1635,0.0020
3,0.9999,0.9747,0.9999,579.0544,0.0024,1.0000,1.0000,1.0000,533.0118,0.0006
4,1.0000,0.9984,1.0000,578.7722,0.0016,1.0000,1.0000,1.0000,532.7814,0.0003
5,1.0000,0.9984,1.0000,578.5543,0.0012,1.0000,1.0000,1.0000,531.9746,0.0002
6,1.0000,0.9974,1.0000,578.5430,0.0011,1.0000,1.0000,1.0000,531.3318,0.0002
7,1.0000,0.9989,1.0000,578.4602,0.0010,1.0000,1.0000,1.0000,531.8610,0.0002
8,1.0000,0.9984,1.0000,578.4537,0.0009,1.0000,1.0000,1.0000,532.4008,0.0001
9,1.0000,0.9989,1.0000,578.4126,0.0008,1.0000,1.0000,1.0000,532.3086,0.0001
10,1.0000,0.9984,1.0000,578.4053,0.0008,1.0000,1.0000,1.0000,531.9918,0.0001
11,1.0000,0.9989,1.0000,578.3781,0.0006,1.0000,1.0000,1.0000,532.4295,0.0002
12,1.0000,0.9979,1.0000,578.3889,0.0006,1.0000,1.0000,1.0000,531.7476,0.0001
13,1.0000,0.9974,1.0000,578.3539,0.0006,1.0000,1.0000,1.0000,532.2817,0.0000
14,1.0000,0.9974,1.0000,578.3397,0.0005,1.0000,1.0000,1.0000,532.5226,0.0001
15,1.0000,0.9989,1.0000,578.3374,0.0005,1.0000,1.0000,1.0000,532.0326,0.0001
16,1.0000,0.9989,1.0000,578.3077,0.0004,1.0000,0.9949,1.0000,532.1540,0.0002
17,1.0000,0.9995,1.0000,578.3164,0.0004,1.0000,1.0000,1.0000,532.6701,0.0001
18,1.0000,0.9984,1.0000,578.2968,0.0004,0.9960,0.9082,0.9960,533.9153,0.0054
19,1.0000,0.9947,1.0000,578.3039,0.0004,0.9998,0.9796,0.9998,532.3768,0.0005
