epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7635,0.0000,0.7044,0.4741,0.8131,0.0000,0.7293,0.2360
1,0.7504,0.0000,0.7001,0.2767,0.8107,0.0000,0.7282,0.2180
2,0.7685,0.0000,0.7035,0.2113,0.8002,0.0000,0.7297,0.1873
3,0.7841,0.0000,0.7055,0.1957,0.8043,0.0000,0.7289,0.1826
4,0.7921,0.0000,0.7058,0.1851,0.8103,0.0000,0.7286,0.1733
5,0.7945,0.0000,0.7059,0.1790,0.8121,0.0000,0.7290,0.1666
6,0.7952,0.0000,0.7062,0.1749,0.8124,0.0000,0.7292,0.1640
7,0.7955,0.0000,0.7063,0.1721,0.8126,0.0000,0.7292,0.1616
8,0.7958,0.0000,0.7064,0.1699,0.8128,0.0000,0.7293,0.1592
9,0.7960,0.0000,0.7065,0.1680,0.8127,0.0000,0.7293,0.1571
10,0.7961,0.0000,0.7066,0.1667,0.8125,0.0000,0.7291,0.1567
11,0.7961,0.0000,0.7065,0.1658,0.8126,0.0000,0.7294,0.1564
12,0.7962,0.0000,0.7066,0.1651,0.8127,0.0000,0.7294,0.1555
13,0.7961,0.0000,0.7066,0.1645,0.8128,0.0000,0.7293,0.1547
14,0.7963,0.0000,0.7066,0.1640,0.8127,0.0000,0.7293,0.1544
15,0.7963,0.0000,0.7066,0.1636,0.8128,0.0000,0.7293,0.1538
16,0.7962,0.0000,0.7067,0.1634,0.8128,0.0000,0.7293,0.1534
17,0.7962,0.0000,0.7067,0.1631,0.8128,0.0000,0.7293,0.1530
18,0.7964,0.0000,0.7068,0.1627,0.8130,0.0000,0.7294,0.1529
19,0.7963,0.0000,0.7065,0.1626,0.8131,0.0000,0.7295,0.1523
