epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.7199,0.0000,0.6448,0.2961,0.7406,0.0000,0.6464,0.1939
1,0.7470,0.0000,0.6439,0.1840,0.7444,0.0000,0.6439,0.1960
2,0.7493,0.0000,0.6434,0.1724,0.7477,0.0000,0.6435,0.1648
3,0.7496,0.0000,0.6431,0.1681,0.7490,0.0000,0.6431,0.1603
4,0.7498,0.0000,0.6431,0.1657,0.7481,0.0000,0.6430,0.1619
5,0.7499,0.0000,0.6431,0.1642,0.7479,0.0000,0.6433,0.1580
6,0.7498,0.0000,0.6432,0.1633,0.7493,0.0000,0.6433,0.1570
7,0.7498,0.0000,0.6433,0.1629,0.7494,0.0000,0.6434,0.1557
8,0.7498,0.0000,0.6433,0.1624,0.7484,0.0000,0.6438,0.1553
9,0.7498,0.0000,0.6432,0.1620,0.7489,0.0000,0.6435,0.1549
10,0.7499,0.0000,0.6432,0.1617,0.7495,0.0000,0.6433,0.1543
11,0.7499,0.0000,0.6431,0.1612,0.7492,0.0000,0.6431,0.1546
12,0.7499,0.0000,0.6429,0.1611,0.7499,0.0000,0.6428,0.1540
13,0.7499,0.0000,0.6429,0.1608,0.7500,0.0000,0.6429,0.1538
14,0.7500,0.0000,0.6429,0.1605,0.7500,0.0000,0.6429,0.1530
15,0.7500,0.0000,0.6429,0.1604,0.7500,0.0000,0.6429,0.1529
16,0.7500,0.0000,0.6429,0.1602,0.7496,0.0000,0.6430,0.1532
17,0.7500,0.0000,0.6429,0.1599,0.7500,0.0000,0.6429,0.1527
18,0.7500,0.0000,0.6429,0.1597,0.7496,0.0000,0.6432,0.1526
19,0.7500,0.0000,0.6429,0.1597,0.7500,0.0000,0.6429,0.1522
