epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_loss
0,0.6721,0.0000,0.6597,0.4315,0.7500,0.0000,0.6429,0.3056
1,0.7029,0.0000,0.6772,0.3341,0.7392,0.0000,0.6641,0.2963
2,0.7219,0.0000,0.6869,0.2806,0.7340,0.0000,0.6836,0.2678
3,0.7385,0.0000,0.6932,0.2476,0.7461,0.0000,0.6932,0.2323
4,0.7523,0.0000,0.7028,0.2247,0.7595,0.0000,0.7090,0.2021
5,0.7616,0.0000,0.7166,0.2054,0.7672,0.0000,0.7209,0.1817
6,0.7718,0.0000,0.7278,0.1878,0.7753,0.0000,0.7302,0.1635
7,0.7826,0.0000,0.7388,0.1685,0.7846,0.0000,0.7383,0.1470
8,0.7875,0.0000,0.7444,0.1488,0.7921,0.0000,0.7488,0.1289
9,0.7952,0.0000,0.7555,0.1333,0.8002,0.0000,0.7631,0.1171
10,0.8050,0.0000,0.7699,0.1210,0.8095,0.0000,0.7777,0.1058
11,0.8150,0.0000,0.7842,0.1111,0.8190,0.0000,0.7910,0.0977
12,0.8255,0.0000,0.7981,0.1023,0.8271,0.0000,0.8019,0.0915
13,0.8381,0.0000,0.8156,0.0949,0.8411,0.0000,0.8207,0.0858
14,0.8544,0.0000,0.8376,0.0888,0.8570,0.0000,0.8423,0.0804
15,0.8674,0.0000,0.8550,0.0840,0.8722,0.0000,0.8613,0.0768
16,0.8821,0.0000,0.8731,0.0793,0.8889,0.0000,0.8815,0.0722
17,0.8955,0.0000,0.8890,0.0755,0.8994,0.0000,0.8942,0.0687
18,0.9063,0.0000,0.9013,0.0724,0.9058,0.0000,0.9015,0.0658
19,0.9136,0.0000,0.9095,0.0693,0.9157,0.0000,0.9120,0.0633
