epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8286,0.0000,0.7853,636.0491,0.1395,0.8808,0.0000,0.8629,575.2650,0.0956
1,0.9096,0.0000,0.9015,612.6329,0.0765,0.9403,0.0000,0.9369,557.3289,0.0554
2,0.9574,0.0000,0.9559,598.8253,0.0456,0.9733,0.0000,0.9728,546.1957,0.0315
3,0.9769,0.0000,0.9765,591.6030,0.0302,0.9753,0.0000,0.9748,544.1463,0.0288
4,0.9799,0.0005,0.9795,590.0492,0.0272,0.9795,0.0000,0.9791,543.2926,0.0265
5,0.9813,0.0037,0.9810,589.2892,0.0255,0.9807,0.0051,0.9804,542.8993,0.0243
6,0.9859,0.0148,0.9857,588.4489,0.0233,0.9905,0.0357,0.9905,540.5944,0.0208
7,0.9959,0.2416,0.9958,585.1262,0.0154,0.9985,0.5816,0.9985,536.7562,0.0094
8,0.9992,0.8001,0.9992,581.6099,0.0079,0.9995,0.8980,0.9995,534.4005,0.0053
9,0.9994,0.8571,0.9994,580.8454,0.0065,0.9994,0.8929,0.9994,534.0704,0.0045
10,0.9994,0.8729,0.9994,580.5257,0.0059,0.9994,0.8878,0.9994,533.8653,0.0039
11,0.9995,0.8808,0.9995,580.3576,0.0054,0.9994,0.9031,0.9994,533.5393,0.0039
12,0.9995,0.8855,0.9995,580.2274,0.0052,0.9995,0.9031,0.9995,533.3258,0.0036
13,0.9995,0.8929,0.9995,580.1914,0.0051,0.9995,0.9031,0.9995,533.4292,0.0042
14,0.9995,0.8966,0.9995,580.1043,0.0049,0.9994,0.8980,0.9994,533.4738,0.0033
15,0.9995,0.8966,0.9995,580.0753,0.0049,0.9995,0.9031,0.9995,532.9763,0.0039
16,0.9996,0.9066,0.9996,580.0355,0.0047,0.9995,0.9031,0.9995,533.7107,0.0061
17,0.9996,0.9061,0.9996,579.9524,0.0045,0.9995,0.9031,0.9995,532.9761,0.0022
18,0.9996,0.9119,0.9996,579.9458,0.0045,0.9995,0.9031,0.9995,532.7368,0.0022
19,0.9996,0.9114,0.9996,579.8701,0.0043,0.9995,0.9031,0.9995,532.8022,0.0025
