epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8929,0.0000,0.8776,619.5723,0.1023,0.9709,0.0000,0.9702,551.2521,0.0411
1,0.9880,0.2405,0.9879,589.5217,0.0237,0.9999,0.9694,0.9999,535.6315,0.0061
2,0.9999,0.9694,0.9999,579.7837,0.0033,0.9999,0.9796,0.9999,532.6435,0.0013
3,1.0000,0.9947,1.0000,578.8312,0.0016,1.0000,0.9898,1.0000,532.0342,0.0009
4,1.0000,0.9974,1.0000,578.5974,0.0011,1.0000,0.9949,1.0000,532.1231,0.0005
5,1.0000,0.9979,1.0000,578.4746,0.0007,1.0000,1.0000,1.0000,532.1335,0.0003
6,1.0000,0.9995,1.0000,578.4002,0.0006,1.0000,1.0000,1.0000,532.1725,0.0003
7,1.0000,1.0000,1.0000,578.3439,0.0004,1.0000,1.0000,1.0000,532.1321,0.0003
8,1.0000,1.0000,1.0000,578.3159,0.0004,1.0000,1.0000,1.0000,532.0318,0.0002
9,1.0000,1.0000,1.0000,578.2961,0.0004,1.0000,1.0000,1.0000,531.9579,0.0002
10,1.0000,1.0000,1.0000,578.2723,0.0003,1.0000,1.0000,1.0000,532.0424,0.0002
11,1.0000,1.0000,1.0000,578.2584,0.0003,1.0000,1.0000,1.0000,531.9412,0.0002
12,1.0000,1.0000,1.0000,578.2441,0.0002,1.0000,1.0000,1.0000,531.9405,0.0002
13,1.0000,1.0000,1.0000,578.2398,0.0002,1.0000,1.0000,1.0000,531.9928,0.0002
14,1.0000,1.0000,1.0000,578.2270,0.0002,1.0000,1.0000,1.0000,531.9060,0.0001
15,1.0000,1.0000,1.0000,578.2209,0.0002,1.0000,1.0000,1.0000,532.0194,0.0002
16,1.0000,1.0000,1.0000,578.2155,0.0002,1.0000,1.0000,1.0000,532.0324,0.0002
17,1.0000,1.0000,1.0000,578.2101,0.0002,1.0000,1.0000,1.0000,532.0140,0.0001
18,1.0000,1.0000,1.0000,578.2047,0.0001,1.0000,1.0000,1.0000,531.9363,0.0001
19,1.0000,1.0000,1.0000,578.2011,0.0001,1.0000,1.0000,1.0000,531.9677,0.0001
